timestamp,game_running,frame_time_ms,fps,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T12:38:00.563218,True,16.67,60.0,17.0,1949.0,8188.0,39.0,20.74,50.0,4.7,6.9
2024-11-28T12:38:01.687867,True,16.67,60.0,51.0,1949.0,8188.0,39.0,17.31,50.0,0.2,6.9
2024-11-28T12:38:02.821197,True,16.67,60.0,20.0,1949.0,8188.0,39.0,16.73,50.0,0.1,6.9
2024-11-28T12:38:03.969608,True,16.67,60.0,25.0,1949.0,8188.0,39.0,21.0,50.0,0.3,6.9
2024-11-28T12:38:05.098956,True,16.67,60.0,37.0,1949.0,8188.0,39.0,15.3,50.0,0.2,6.9
2024-11-28T12:38:06.227878,True,16.67,60.0,19.0,1941.0,8188.0,39.0,16.25,50.0,0.2,6.9
2024-11-28T12:38:07.391228,True,16.67,60.0,40.0,1941.0,8188.0,39.0,16.49,50.0,0.3,6.9
2024-11-28T12:38:08.479216,True,16.67,60.0,19.0,1941.0,8188.0,39.0,16.04,50.0,0.3,6.9
2024-11-28T12:38:07.436489,True,16.67,60.0,25.0,1941.0,8188.0,39.0,21.19,50.0,0.4,6.9
2024-11-28T12:38:08.547552,True,16.67,60.0,37.0,1939.0,8188.0,39.0,16.12,50.0,0.1,6.9
2024-11-28T12:38:09.654781,True,16.67,60.0,18.0,1939.0,8188.0,39.0,16.78,50.0,0.2,6.9
2024-11-28T12:38:10.768532,True,16.67,60.0,18.0,1938.0,8188.0,39.0,21.19,50.0,0.2,6.9
2024-11-28T12:38:11.885737,True,16.67,60.0,20.0,1938.0,8188.0,39.0,16.7,50.0,0.3,7.0
2024-11-28T12:38:13.010755,True,16.67,60.0,25.0,1938.0,8188.0,39.0,17.02,50.0,0.2,7.0
2024-11-28T12:38:14.113687,True,16.67,60.0,39.0,1938.0,8188.0,39.0,14.46,50.0,0.2,7.0
2024-11-28T12:38:15.243629,True,16.67,60.0,17.0,1938.0,8188.0,39.0,17.31,50.0,0.3,6.9
2024-11-28T12:38:16.388409,True,16.67,60.0,16.0,1938.0,8188.0,39.0,20.85,50.0,0.3,6.9
2024-11-28T12:38:17.510959,True,16.67,60.0,34.0,1938.0,8188.0,39.0,14.51,50.0,0.2,6.9
2024-11-28T12:38:18.624192,True,16.67,60.0,17.0,1938.0,8188.0,39.0,18.08,50.0,0.2,6.9
2024-11-28T12:38:19.758922,True,16.67,60.0,19.0,1938.0,8188.0,39.0,20.98,50.0,0.2,6.9
2024-11-28T12:38:20.887018,True,16.67,60.0,20.0,1938.0,8188.0,39.0,18.06,50.0,0.3,6.9
2024-11-28T12:38:22.039754,True,16.67,60.0,26.0,1938.0,8188.0,39.0,20.68,50.0,0.2,6.9
2024-11-28T12:38:23.138076,True,16.67,60.0,21.0,1938.0,8188.0,39.0,16.34,50.0,0.1,6.9
2024-11-28T12:38:24.251596,True,16.67,60.0,39.0,1938.0,8188.0,39.0,13.18,50.0,0.2,6.9
2024-11-28T12:38:25.350923,True,16.67,60.0,19.0,1938.0,8188.0,39.0,20.3,50.0,0.0,6.9
2024-11-28T12:38:26.461134,True,16.67,60.0,38.0,1937.0,8188.0,39.0,19.67,50.0,0.2,6.9
2024-11-28T12:38:27.573170,True,16.67,60.0,25.0,1937.0,8188.0,39.0,18.69,50.0,0.1,6.9
2024-11-28T12:38:28.675123,True,16.67,60.0,19.0,1936.0,8188.0,39.0,20.77,50.0,0.4,6.9
2024-11-28T12:38:29.778251,True,16.67,60.0,22.0,1936.0,8188.0,39.0,16.14,50.0,0.5,6.9
2024-11-28T12:38:30.885818,True,16.67,60.0,49.0,1936.0,8188.0,39.0,14.45,50.0,0.2,6.9
2024-11-28T12:38:31.996368,True,16.67,60.0,21.0,1936.0,8188.0,39.0,15.5,50.0,0.2,6.9
2024-11-28T12:38:33.134587,True,16.67,60.0,23.0,1936.0,8188.0,39.0,21.2,50.0,0.2,6.9
2024-11-28T12:38:34.256136,True,16.67,60.0,33.0,1936.0,8188.0,38.0,16.86,50.0,0.3,6.9
2024-11-28T12:38:35.353664,True,16.67,60.0,18.0,1936.0,8188.0,38.0,15.93,50.0,0.2,6.9
2024-11-28T12:38:36.452362,True,16.67,60.0,24.0,1936.0,8188.0,38.0,16.77,50.0,0.3,6.9
2024-11-28T12:38:37.541086,True,16.67,60.0,34.0,1936.0,8188.0,38.0,13.0,50.0,0.2,6.9
2024-11-28T12:38:38.642914,True,16.67,60.0,18.0,1936.0,8188.0,39.0,16.94,50.0,0.2,6.9
2024-11-28T12:38:37.557763,True,16.67,60.0,19.0,1936.0,8188.0,39.0,21.57,50.0,0.3,6.9
2024-11-28T12:38:38.668905,True,16.67,60.0,39.0,1936.0,8188.0,38.0,15.46,50.0,0.2,6.9
2024-11-28T12:38:39.781599,True,16.67,60.0,25.0,1936.0,8188.0,39.0,19.5,50.0,0.2,6.9
2024-11-28T12:38:40.943530,True,16.67,60.0,19.0,1933.0,8188.0,38.0,20.36,50.0,0.1,6.9
2024-11-28T12:38:42.105565,True,16.67,60.0,38.0,1933.0,8188.0,38.0,12.96,50.0,0.0,6.9
2024-11-28T12:38:43.257638,True,16.67,60.0,19.0,1933.0,8188.0,39.0,20.19,50.0,0.3,6.9
2024-11-28T12:38:44.419416,True,16.67,60.0,20.0,1933.0,8188.0,38.0,20.83,50.0,0.3,6.9
2024-11-28T12:38:45.573083,True,16.67,60.0,50.0,1933.0,8188.0,38.0,13.7,50.0,0.2,6.9
2024-11-28T12:38:46.676058,True,16.67,60.0,19.0,1933.0,8188.0,38.0,16.7,50.0,0.1,6.9
2024-11-28T12:38:47.774550,True,16.67,60.0,19.0,1933.0,8188.0,38.0,21.16,50.0,0.3,6.9
2024-11-28T12:38:48.906457,True,16.67,60.0,37.0,1933.0,8188.0,38.0,15.22,50.0,0.3,6.9
2024-11-28T12:38:50.006777,True,16.67,60.0,19.0,1933.0,8188.0,38.0,17.36,50.0,0.3,6.9
2024-11-28T12:38:51.117590,True,16.67,60.0,25.0,1933.0,8188.0,38.0,21.09,50.0,0.3,6.9
2024-11-28T12:38:52.230929,True,16.67,60.0,39.0,1933.0,8188.0,38.0,14.55,50.0,0.3,6.9
2024-11-28T12:38:53.328942,True,16.67,60.0,19.0,1933.0,8188.0,38.0,18.33,50.0,0.3,6.9
2024-11-28T12:38:54.465722,True,16.67,60.0,17.0,1933.0,8188.0,38.0,21.43,50.0,0.2,6.9
2024-11-28T12:38:55.648958,True,16.67,60.0,32.0,1933.0,8188.0,38.0,14.47,50.0,0.2,6.9
2024-11-28T12:38:56.782744,True,16.67,60.0,22.0,1933.0,8188.0,38.0,19.8,50.0,0.1,6.9
2024-11-28T12:38:57.876503,True,16.67,60.0,16.0,1933.0,8188.0,38.0,21.0,50.0,0.3,6.9
2024-11-28T12:38:58.980857,True,16.67,60.0,33.0,1933.0,8188.0,38.0,14.51,50.0,0.1,6.9
2024-11-28T12:39:00.083617,True,16.67,60.0,17.0,1933.0,8188.0,38.0,19.47,50.0,0.3,7.0
2024-11-28T12:39:01.193465,True,16.67,60.0,19.0,1933.0,8188.0,38.0,21.89,50.0,0.2,7.0
2024-11-28T12:39:02.349354,True,16.67,60.0,26.0,1933.0,8188.0,38.0,16.52,50.0,0.3,7.0
2024-11-28T12:39:03.511557,True,16.67,60.0,37.0,1933.0,8188.0,38.0,14.41,50.0,0.1,7.0
2024-11-28T12:39:04.612724,True,16.67,60.0,19.0,1933.0,8188.0,38.0,19.1,50.0,0.3,7.0
2024-11-28T12:39:05.776221,True,16.67,60.0,20.0,1933.0,8188.0,38.0,20.79,50.0,0.2,6.9
2024-11-28T12:39:06.946998,True,16.67,60.0,36.0,1933.0,8188.0,38.0,15.3,50.0,0.1,6.9
2024-11-28T12:39:08.102674,True,16.67,60.0,25.0,1933.0,8188.0,38.0,19.91,50.0,0.0,6.9
2024-11-28T12:39:09.228554,True,16.67,60.0,19.0,1933.0,8188.0,38.0,20.78,50.0,0.3,6.9
2024-11-28T12:39:08.189220,True,16.67,60.0,48.0,1933.0,8188.0,38.0,13.43,50.0,0.2,6.9
2024-11-28T12:39:09.328369,True,16.67,60.0,19.0,1933.0,8188.0,38.0,21.03,50.0,0.1,6.9
2024-11-28T12:39:10.490342,True,16.67,60.0,36.0,1933.0,8188.0,38.0,19.61,50.0,0.1,7.0
2024-11-28T12:39:11.646510,True,16.67,60.0,17.0,1933.0,8188.0,38.0,16.28,50.0,0.3,6.9
2024-11-28T12:39:12.804064,True,16.67,60.0,17.0,1933.0,8188.0,38.0,17.02,50.0,0.2,6.9
2024-11-28T12:39:13.900288,True,16.67,60.0,23.0,1933.0,8188.0,38.0,15.86,50.0,0.3,6.9
2024-11-28T12:39:15.010183,True,16.67,60.0,17.0,1933.0,8188.0,38.0,17.38,50.0,0.1,6.9
2024-11-28T12:39:16.117136,True,16.67,60.0,40.0,1933.0,8188.0,38.0,13.62,50.0,0.2,6.9
2024-11-28T12:39:17.219771,True,16.67,60.0,18.0,1934.0,8188.0,38.0,19.45,50.0,0.1,6.9
