timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T16:32:12.976361,False,,,,,,17.0,1823.0,8188.0,38.0,19.9,50.0,0.2,7.6
2024-11-29T16:32:14.018377,False,,,,,,19.0,1822.0,8188.0,38.0,19.51,50.0,0.2,7.6
2024-11-29T16:32:15.073214,False,,,,,,20.0,1822.0,8188.0,38.0,21.28,50.0,0.4,7.6
2024-11-29T16:32:16.136444,False,,,,,,28.0,1822.0,8188.0,38.0,17.2,50.0,0.2,7.6
2024-11-29T16:32:17.202414,False,,,,,,22.0,1822.0,8188.0,38.0,15.66,50.0,0.2,7.6
2024-11-29T16:32:18.264575,False,,,,,,19.0,1822.0,8188.0,38.0,21.45,50.0,0.2,7.6
2024-11-29T16:32:19.336815,False,,,,,,44.0,1822.0,8188.0,38.0,18.75,50.0,0.2,7.6
2024-11-29T16:32:20.401644,False,,,,,,22.0,1822.0,8188.0,38.0,16.76,50.0,0.1,7.6
2024-11-29T16:32:21.470748,False,,,,,,22.0,1822.0,8188.0,38.0,17.93,50.0,0.2,7.6
2024-11-29T16:32:22.535102,False,,,,,,23.0,1822.0,8188.0,38.0,19.81,50.0,0.2,7.6
2024-11-29T16:32:23.599455,False,,,,,,21.0,1822.0,8188.0,38.0,20.6,50.0,0.1,7.6
2024-11-29T16:32:24.653641,False,,,,,,21.0,1822.0,8188.0,38.0,18.7,50.0,0.2,7.6
2024-11-29T16:32:25.719610,False,,,,,,21.0,1822.0,8188.0,38.0,21.13,50.0,0.2,7.6
2024-11-29T16:32:26.784200,False,,,,,,20.0,1822.0,8188.0,38.0,17.35,50.0,0.1,7.6
2024-11-29T16:32:27.854415,False,,,,,,27.0,1822.0,8188.0,38.0,17.51,50.0,0.2,7.6
2024-11-29T16:32:28.916405,False,,,,,,19.0,1822.0,8188.0,38.0,15.71,50.0,0.1,7.6
2024-11-29T16:32:29.989721,False,,,,,,19.0,1822.0,8188.0,38.0,21.77,50.0,0.1,7.6
2024-11-29T16:32:31.073557,False,,,,,,46.0,1822.0,8188.0,38.0,18.95,50.0,0.2,7.6
2024-11-29T16:32:32.145756,False,,,,,,21.0,1822.0,8188.0,38.0,19.09,50.0,0.1,7.6
2024-11-29T16:32:33.219841,False,,,,,,27.0,1821.0,8188.0,38.0,20.53,50.0,0.2,7.6
2024-11-29T16:32:34.294153,False,,,,,,23.0,1821.0,8188.0,38.0,17.02,50.0,0.3,7.6
2024-11-29T16:32:35.358475,False,,,,,,22.0,1821.0,8188.0,38.0,17.07,50.0,0.2,7.6
2024-11-29T16:32:36.411352,False,,,,,,17.0,1821.0,8188.0,38.0,17.95,50.0,0.3,7.6
2024-11-29T16:32:37.473885,False,,,,,,18.0,1821.0,8188.0,38.0,17.46,50.0,0.1,7.6
2024-11-29T16:32:38.545762,False,,,,,,23.0,1821.0,8188.0,38.0,21.26,50.0,0.3,7.6
2024-11-29T16:32:39.619606,False,,,,,,20.0,1821.0,8188.0,38.0,18.44,50.0,0.2,7.6
2024-11-29T16:32:40.689654,False,,,,,,17.0,1821.0,8188.0,38.0,21.17,50.0,0.2,7.6
2024-11-29T16:32:41.754377,False,,,,,,21.0,1821.0,8188.0,38.0,18.56,50.0,0.2,7.6
2024-11-29T16:32:42.820483,False,,,,,,42.0,1821.0,8188.0,38.0,16.95,50.0,0.1,7.6
2024-11-29T16:32:43.884708,False,,,,,,22.0,1821.0,8188.0,38.0,19.21,50.0,0.1,7.6
2024-11-29T16:32:43.988989,False,,,,,,20.0,1821.0,8188.0,38.0,20.81,50.0,0.4,7.6
2024-11-29T16:32:45.046674,False,,,,,,20.0,1821.0,8188.0,38.0,19.8,50.0,0.2,7.6
