timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T17:06:30.606605,False,,,,,,25.0,3637.0,8188.0,38.0,13.47,50.0,0.7,8.1
2024-11-29T17:06:31.643630,False,,,,,,18.0,3606.0,8188.0,38.0,16.09,50.0,0.2,8.1
2024-11-29T17:06:32.682047,False,,,,,,15.0,3606.0,8188.0,39.0,30.18,50.0,0.3,8.1
2024-11-29T17:06:33.734317,False,,,,,,10.0,3594.0,8188.0,39.0,30.87,50.0,0.4,8.2
2024-11-29T17:06:34.792771,False,,,,,,25.0,3586.0,8188.0,40.0,31.61,50.0,0.3,8.1
2024-11-29T17:06:35.850123,False,,,,,,6.0,3589.0,8188.0,40.0,34.78,50.0,0.5,8.1
2024-11-29T17:06:36.911859,False,,,,,,9.0,3604.0,8188.0,39.0,20.51,50.0,0.2,8.0
