timestamp,game_running,frame_time_ms,fps,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T12:44:25.307823,True,16.67,60.0,23.0,1959.0,8188.0,37.0,13.87,50.0,4.8,7.0
2024-11-28T12:44:26.435770,True,16.67,60.0,21.0,1959.0,8188.0,37.0,17.05,50.0,0.2,7.0
2024-11-28T12:44:27.604632,True,16.67,60.0,53.0,1960.0,8188.0,37.0,15.07,50.0,0.3,7.0
2024-11-28T12:44:28.765507,True,16.67,60.0,19.0,1960.0,8188.0,37.0,19.11,50.0,0.3,7.0
