timestamp,game_running,frame_time_ms,fps,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T12:59:18.225586,True,16.67,60.0,43.0,1955.0,8188.0,37.0,15.13,50.0,4.4,7.0
2024-11-28T12:59:19.384937,True,16.67,60.0,19.0,1955.0,8188.0,37.0,17.06,50.0,0.2,7.0
2024-11-28T12:59:18.217437,True,16.67,60.0,43.0,1955.0,8188.0,37.0,15.73,50.0,0.3,7.0
2024-11-28T12:59:19.381997,True,16.67,60.0,20.0,1954.0,8188.0,37.0,19.69,50.0,0.3,7.0
2024-11-28T12:59:20.540284,True,16.67,60.0,30.0,1948.0,8188.0,38.0,21.56,50.0,0.3,7.0
2024-11-28T12:59:21.699088,True,16.67,60.0,18.0,1959.0,8188.0,38.0,27.6,50.0,0.3,7.0
2024-11-28T12:59:22.864305,True,16.67,60.0,24.0,1996.0,8188.0,38.0,27.74,50.0,0.3,7.0
2024-11-28T12:59:23.986426,True,16.67,60.0,19.0,1984.0,8188.0,38.0,27.82,50.0,0.2,7.0
2024-11-28T12:59:25.110551,True,16.67,60.0,50.0,1984.0,8188.0,37.0,21.8,50.0,0.2,7.0
2024-11-28T12:59:26.271632,True,16.67,60.0,20.0,1975.0,8188.0,37.0,21.38,50.0,0.1,7.0
2024-11-28T12:59:27.439176,True,16.67,60.0,41.0,1957.0,8188.0,37.0,18.58,50.0,0.3,7.0
2024-11-28T12:59:28.601305,True,16.67,60.0,19.0,1939.0,8188.0,37.0,19.48,50.0,0.2,7.0
2024-11-28T12:59:29.771693,True,16.67,60.0,19.0,1938.0,8188.0,37.0,19.38,50.0,0.1,7.0
2024-11-28T12:59:30.939844,True,16.67,60.0,21.0,1941.0,8188.0,37.0,19.07,50.0,0.2,7.0
2024-11-28T12:59:32.074960,True,16.67,60.0,21.0,1941.0,8188.0,37.0,20.64,50.0,0.2,7.0
2024-11-28T12:59:33.173782,True,16.67,60.0,24.0,1983.0,8188.0,37.0,16.43,50.0,0.2,7.0
2024-11-28T12:59:34.272031,True,16.67,60.0,24.0,1990.0,8188.0,37.0,17.0,50.0,0.3,7.0
2024-11-28T12:59:35.371610,True,16.67,60.0,20.0,1989.0,8188.0,37.0,20.98,50.0,0.3,7.0
2024-11-28T12:59:36.478005,True,16.67,60.0,28.0,1978.0,8188.0,37.0,17.89,50.0,0.3,7.0
2024-11-28T12:59:37.642921,True,16.67,60.0,39.0,1965.0,8188.0,37.0,13.7,50.0,0.2,7.0
2024-11-28T12:59:38.806432,True,16.67,60.0,24.0,1961.0,8188.0,38.0,25.28,50.0,0.1,7.0
