timestamp,game_running,process_id,process_cpu_percent,process_memory_mb,process_thread_count,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T14:43:47.561533,False,0,0,0,0,7.0,1746.0,8188.0,34.0,6.36,0.0,2.5,6.8,0
2024-11-27T14:43:49.175227,False,0,0,0,0,4.0,1746.0,8188.0,34.0,6.24,0.0,0.2,6.8,6.0
2024-11-27T14:43:50.795353,False,0,0,0,0,4.0,1746.0,8188.0,34.0,6.2,0.0,0.2,6.8,1
2024-11-27T14:43:52.486895,False,0,0,0,0,19.0,1789.0,8188.0,36.0,14.93,0.0,0.7,6.8,30.0
2024-11-27T14:43:54.098864,False,0,0,0,0,17.0,1789.0,8188.0,36.0,33.47,0.0,0.3,6.8,4.0
2024-11-27T14:43:55.706739,False,0,0,0,0,1.0,1736.0,8188.0,36.0,26.14,0.0,0.3,6.8,32.0
2024-11-27T14:43:57.302874,False,0,0,0,0,26.0,1738.0,8188.0,35.0,12.44,0.0,0.4,6.8,50.0
2024-11-27T14:43:58.918163,False,0,0,0,0,26.0,1743.0,8188.0,35.0,13.59,0.0,0.2,6.8,1
2024-11-27T14:44:00.529706,False,0,0,0,0,34.0,1736.0,8188.0,35.0,13.79,0.0,0.1,6.8,16.0
2024-11-27T14:44:02.153684,False,0,0,0,0,35.0,1736.0,8188.0,35.0,13.9,0.0,0.6,6.8,2.0
2024-11-27T14:44:02.802147,False,0,0,0,0,24.0,1736.0,8188.0,36.0,13.94,0.0,0.4,6.8,22.0
2024-11-27T14:44:04.419464,False,0,0,0,0,25.0,1736.0,8188.0,36.0,13.77,0.0,0.2,6.8,2.0
2024-11-27T14:44:06.037061,False,0,0,0,0,24.0,1736.0,8188.0,36.0,13.98,0.0,0.2,6.8,2.0
2024-11-27T14:44:07.646784,False,0,0,0,0,25.0,1736.0,8188.0,36.0,14.02,0.0,0.3,6.8,2.0
2024-11-27T14:44:09.270495,False,0,0,0,0,25.0,1736.0,8188.0,36.0,14.1,0.0,0.5,6.8,1
2024-11-27T14:44:10.880523,False,0,0,0,0,27.0,1738.0,8188.0,36.0,13.56,0.0,0.2,6.8,4.0
2024-11-27T14:44:12.513113,False,0,0,0,0,24.0,1736.0,8188.0,36.0,14.14,0.0,0.2,6.8,6.0
2024-11-27T14:44:14.143335,False,0,0,0,0,14.0,1698.0,8188.0,36.0,11.73,0.0,0.2,6.8,20.0
