timestamp,game_running,frame_time_ms,fps,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T11:47:14.384964,True,16.14987080103359,61.92,32.0,1742.0,8188.0,40.0,19.45,50.0,4.2,6.9
2024-11-28T11:47:15.611271,True,15.681846694266717,63.768,39.0,1742.0,8188.0,40.0,12.94,50.0,0.2,6.9
2024-11-28T11:47:16.840818,True,15.45327547626995,64.7112,17.0,1742.0,8188.0,40.0,17.72,50.0,0.1,6.9
2024-11-28T11:47:18.005973,True,15.337404493982216,65.20008,16.0,1742.0,8188.0,40.0,20.54,50.0,0.2,6.9
2024-11-28T11:47:19.186024,True,14.775397993075423,67.680072,35.0,1742.0,8188.0,39.0,14.84,50.0,0.4,6.9
2024-11-28T11:47:20.404723,True,14.515459841464935,68.8920648,33.0,1742.0,8188.0,39.0,12.79,50.0,0.4,6.9
2024-11-28T11:47:21.633933,True,14.240377334728803,70.22285832,37.0,1740.0,8188.0,39.0,12.86,50.0,0.3,6.9
2024-11-28T11:47:22.828351,True,14.253019388789,70.160572488,17.0,1737.0,8188.0,40.0,15.08,50.0,0.3,6.9
2024-11-28T11:47:24.025836,True,14.22788499851909,70.2845152392,19.0,1705.0,8188.0,40.0,21.04,50.0,0.4,6.9
2024-11-28T11:47:25.259797,True,14.157074267767838,70.63606371528,23.0,1720.0,8188.0,39.0,17.29,50.0,0.3,6.9
2024-11-28T11:47:26.487956,True,14.093944557200864,70.952457343752,19.0,1705.0,8188.0,40.0,18.41,50.0,0.1,6.9
2024-11-28T11:47:27.680702,True,14.108907183189803,70.8772116093768,17.0,1704.0,8188.0,39.0,21.39,50.0,0.2,6.9
2024-11-28T11:47:28.909960,True,13.693098416262787,73.02949044843912,54.0,1713.0,8188.0,39.0,15.26,50.0,0.4,6.9
2024-11-28T11:47:30.097622,True,13.689902092349879,73.0465414035952,25.0,1699.0,8188.0,39.0,17.14,50.0,0.3,6.9
2024-11-28T11:47:31.284331,True,13.520477059230899,73.96188726323568,37.0,1714.0,8188.0,39.0,15.37,50.0,0.3,6.9
2024-11-28T11:47:30.482640,True,13.468793744365385,74.2456985369121,35.0,1714.0,8188.0,39.0,12.69,50.0,0.2,7.0
2024-11-28T11:47:31.650617,True,13.564632254845039,73.7211286832209,15.0,1713.0,8188.0,39.0,15.22,50.0,0.2,6.9
2024-11-28T11:47:32.827147,True,13.618594623695055,73.4290158148988,18.0,1713.0,8188.0,39.0,16.58,50.0,0.4,6.9
2024-11-28T11:47:33.996802,True,13.468718333949182,74.24611423340892,36.0,1713.0,8188.0,39.0,12.6,50.0,0.6,6.9
2024-11-28T11:47:35.180393,True,13.347303010393153,74.92150281006802,35.0,1713.0,8188.0,39.0,12.71,50.0,0.2,6.9
2024-11-28T11:47:36.386936,True,13.135537959793698,76.12935252906122,35.0,1713.0,8188.0,39.0,12.85,50.0,0.4,6.9
2024-11-28T11:47:37.560346,True,13.228140116045205,75.5964172761551,18.0,1713.0,8188.0,39.0,19.87,50.0,0.3,6.9
2024-11-28T11:47:38.768844,True,13.134257299384432,76.13677554853957,35.0,1713.0,8188.0,39.0,17.68,50.0,0.4,6.9
2024-11-28T11:47:39.985951,True,13.11250167260183,76.26309799368562,34.0,1713.0,8188.0,39.0,12.65,50.0,0.4,6.9
2024-11-28T11:47:41.207919,True,13.238582469610932,75.53678819431707,15.0,1713.0,8188.0,39.0,17.58,50.0,0.3,6.9
2024-11-28T11:47:42.408543,True,13.322123321666986,75.06310937488536,18.0,1713.0,8188.0,39.0,20.42,50.0,0.3,6.9
2024-11-28T11:47:43.646581,True,13.0929813825551,76.37679843739681,35.0,1713.0,8188.0,38.0,12.62,50.0,0.5,6.9
2024-11-28T11:47:44.875939,True,13.116625932283496,76.23911859365714,26.0,1735.0,8188.0,39.0,14.75,50.0,0.3,6.9
2024-11-28T11:47:46.101978,True,13.179535754043023,75.87520673429144,21.0,1735.0,8188.0,39.0,20.45,50.0,0.5,6.9
2024-11-28T11:47:47.334434,True,13.091115225080188,76.3876860608623,35.0,1735.0,8188.0,38.0,14.58,50.0,0.4,6.9
2024-11-28T11:47:48.573686,True,12.911736314247639,77.44891745477607,45.0,1735.0,8188.0,38.0,12.61,50.0,0.3,6.9
2024-11-28T11:47:49.797022,True,12.872659351384566,77.68402570929847,34.0,1735.0,8188.0,38.0,12.75,50.0,0.2,6.9
2024-11-28T11:47:50.967172,True,12.937343143089457,77.29562313836861,23.0,1735.0,8188.0,39.0,18.45,50.0,0.3,6.9
2024-11-28T11:47:52.140068,True,12.905547002376515,77.48606082453175,17.0,1735.0,8188.0,38.0,20.03,50.0,0.2,6.9
2024-11-28T11:47:53.335572,True,12.749011340159408,78.43745474207857,45.0,1735.0,8188.0,38.0,12.64,50.0,0.5,6.9
2024-11-28T11:47:54.531378,True,12.904273255824197,77.49370926787073,15.0,1735.0,8188.0,38.0,15.47,50.0,0.3,6.9
2024-11-28T11:47:55.730377,True,13.026882294702304,76.76433834108366,20.0,1735.0,8188.0,38.0,20.43,50.0,0.3,6.9
2024-11-28T11:47:56.947152,True,12.975570133861517,77.0679045069753,33.0,1735.0,8188.0,38.0,14.73,50.0,0.3,6.9
2024-11-28T11:47:58.122209,True,12.800636704689191,78.12111405627778,34.0,1735.0,8188.0,38.0,12.73,50.0,0.6,6.9
2024-11-28T11:47:59.282410,True,12.931758663922125,77.32900265065,17.0,1735.0,8188.0,38.0,16.38,50.0,0.3,6.9
2024-11-28T11:48:00.461588,True,12.79163285818137,78.176102385585,34.0,1735.0,8188.0,38.0,15.65,50.0,0.3,6.9
2024-11-28T11:48:01.631117,True,12.784700555468524,78.2184921470265,31.0,1735.0,8188.0,38.0,12.49,50.0,0.1,6.9
2024-11-28T11:48:00.882300,True,12.64276160058542,79.09664293232385,31.0,1732.0,8188.0,38.0,12.81,50.0,0.3,6.9
2024-11-28T11:48:02.062383,True,12.776780417336015,78.26697863909146,18.0,1732.0,8188.0,38.0,20.83,50.0,0.6,6.9
2024-11-28T11:48:03.269934,True,12.64537745943144,79.08028077518232,44.0,1732.0,8188.0,38.0,17.94,50.0,0.3,6.9
2024-11-28T11:48:04.457290,True,12.653062083722642,79.03225269766409,35.0,1732.0,8188.0,38.0,12.64,50.0,0.2,6.9
2024-11-28T11:48:05.695101,True,12.526771679677662,79.82902742789769,33.0,1732.0,8188.0,38.0,12.86,50.0,0.2,6.9
2024-11-28T11:48:06.913421,True,12.670076023492937,78.92612468510792,18.0,1732.0,8188.0,38.0,19.91,50.0,0.2,6.9
2024-11-28T11:48:08.151630,True,12.560681876204535,79.61351221659713,43.0,1732.0,8188.0,38.0,17.89,50.0,0.3,6.9
2024-11-28T11:48:09.392696,True,12.548285647110594,79.69216099493742,31.0,1732.0,8188.0,38.0,12.57,50.0,0.3,6.9
2024-11-28T11:48:10.575674,True,12.632172809144144,79.16294489544369,24.0,1732.0,8188.0,38.0,16.06,50.0,0.4,6.9
2024-11-28T11:48:11.784114,True,12.62201538089434,79.22665040589932,33.0,1732.0,8188.0,38.0,16.15,50.0,0.3,6.9
2024-11-28T11:48:12.963281,True,12.593826309842726,79.40398536530938,45.0,1732.0,8188.0,38.0,12.67,50.0,0.3,6.9
2024-11-28T11:48:14.135729,True,12.731784228035776,78.54358682877844,18.0,1731.0,8188.0,38.0,15.69,50.0,0.4,6.9
2024-11-28T11:48:15.360991,True,12.79930729806486,78.1292281459006,24.0,1731.0,8188.0,38.0,20.91,50.0,0.2,6.9
2024-11-28T11:48:16.539804,True,12.80142469307468,78.11630533131054,34.0,1731.0,8188.0,38.0,14.17,50.0,0.2,6.9
2024-11-28T11:48:17.725021,True,12.696046832699084,78.76467479817948,41.0,1731.0,8188.0,38.0,12.84,50.0,0.2,6.9
2024-11-28T11:48:18.898513,True,12.825740572907845,77.96820731836154,16.0,1731.0,8188.0,38.0,16.81,50.0,0.3,6.9
2024-11-28T11:48:20.071885,True,12.669231382420854,78.93138658652539,46.0,1731.0,8188.0,38.0,15.34,50.0,0.3,6.9
2024-11-28T11:48:21.256206,True,12.64570253139774,79.07824792787287,35.0,1731.0,8188.0,38.0,12.58,50.0,0.3,6.9
2024-11-28T11:48:22.447079,True,12.51088084833431,79.93042313508559,46.0,1731.0,8188.0,38.0,12.72,50.0,0.4,6.9
2024-11-28T11:48:23.639882,True,12.65544351891417,79.01738082157704,18.0,1731.0,8188.0,38.0,20.82,50.0,0.2,6.9
2024-11-28T11:48:24.852233,True,12.510063918043178,79.93564273941934,36.0,1731.0,8188.0,37.0,17.18,50.0,0.4,6.9
2024-11-28T11:48:26.079196,True,12.502800867217136,79.98207846547741,34.0,1731.0,8188.0,37.0,12.58,50.0,0.2,6.9
2024-11-28T11:48:27.248675,True,12.619272534134915,79.24387061892968,18.0,1725.0,8188.0,38.0,17.7,50.0,0.4,6.9
2024-11-28T11:48:28.426495,True,12.784538512975631,78.21948355703671,15.0,1723.0,8188.0,37.0,20.12,50.0,0.3,6.9
2024-11-28T11:48:29.622146,True,12.633036102710276,79.15753520133305,46.0,1723.0,8188.0,37.0,12.63,50.0,0.3,6.9
2024-11-28T11:48:30.826160,True,12.603699826379787,79.34178168119973,34.0,1723.0,8188.0,37.0,12.93,50.0,0.4,6.9
2024-11-28T11:48:32.031648,True,12.692352037766792,78.78760351307976,23.0,1723.0,8188.0,38.0,17.1,50.0,0.4,6.9
2024-11-28T11:48:31.299551,True,12.822346882690722,77.98884316177178,18.0,1723.0,8188.0,38.0,20.95,50.0,0.1,6.9
2024-11-28T11:48:32.471004,True,12.666251061077023,78.94995884559461,34.0,1723.0,8188.0,37.0,14.52,50.0,0.4,6.9
2024-11-28T11:48:33.657133,True,12.64303013192678,79.09496296103515,34.0,1723.0,8188.0,37.0,12.44,50.0,0.2,6.9
2024-11-28T11:48:34.848021,True,12.565108202609029,79.58546666493164,33.0,1723.0,8188.0,37.0,12.65,50.0,0.1,6.9
2024-11-28T11:48:36.042662,True,12.734486466805079,78.52691999843849,15.0,1723.0,8188.0,37.0,14.01,50.0,0.3,6.9
2024-11-28T11:48:37.250053,True,12.811605798189497,78.05422799859464,23.0,1723.0,8188.0,37.0,20.68,50.0,0.3,6.9
2024-11-28T11:48:38.443031,True,12.822353124294537,77.98880519873518,39.0,1723.0,8188.0,37.0,15.54,50.0,0.2,6.9
2024-11-28T11:48:39.623350,True,12.724277368711743,78.58992467886166,40.0,1723.0,8188.0,37.0,12.56,50.0,0.4,6.9
2024-11-28T11:48:40.842556,True,12.704715493898819,78.7109322109755,29.0,1723.0,8188.0,37.0,12.56,50.0,0.3,6.9
2024-11-28T11:48:42.081511,True,12.581807068423398,79.47983898987795,33.0,1723.0,8188.0,37.0,12.7,50.0,0.4,6.9
2024-11-28T11:48:43.302268,True,12.730444097633695,78.55185509089016,17.0,1723.0,8188.0,37.0,20.72,50.0,0.2,6.9
2024-11-28T11:48:44.535723,True,12.60451195230645,79.33666958180115,44.0,1723.0,8188.0,37.0,17.92,50.0,0.6,6.9
2024-11-28T11:48:45.759901,True,12.578141290262305,79.50300262362103,35.0,1723.0,8188.0,37.0,12.56,50.0,0.5,6.9
2024-11-28T11:48:46.943199,True,12.736792517963783,78.51270236125892,45.0,1723.0,8188.0,37.0,13.37,50.0,0.5,6.9
2024-11-28T11:48:48.130826,True,12.902987371709596,77.50143212513304,14.0,1723.0,8188.0,37.0,20.84,50.0,0.3,6.9
2024-11-28T11:48:49.357350,True,12.854909771751762,77.79128891261973,41.0,1723.0,8188.0,37.0,16.39,50.0,0.2,6.9
2024-11-28T11:48:50.601028,True,12.811945239265198,78.05216002135776,33.0,1723.0,8188.0,37.0,12.43,50.0,0.4,6.9
2024-11-28T11:48:51.822060,True,12.666734759948659,78.94694401922199,45.0,1723.0,8188.0,37.0,13.35,50.0,0.3,6.9
2024-11-28T11:48:53.054469,True,12.808648462185635,78.07224961729979,17.0,1723.0,8188.0,37.0,20.7,50.0,0.3,6.9
2024-11-28T11:48:54.283880,True,12.760794811144423,78.36502465556981,35.0,1723.0,8188.0,37.0,16.27,50.0,0.3,6.9
2024-11-28T11:48:55.516721,True,12.66006721323922,78.98852219001283,34.0,1723.0,8188.0,37.0,12.48,50.0,0.1,6.9
2024-11-28T11:48:56.681475,True,12.647074413825417,79.06966997101155,33.0,1723.0,8188.0,37.0,12.74,50.0,0.4,6.9
2024-11-28T11:48:57.871876,True,12.780744554970763,78.2427029739104,15.0,1719.0,8188.0,37.0,16.48,50.0,0.3,6.9
2024-11-28T11:48:59.036943,True,12.913484499063435,77.43843267651935,17.0,1719.0,8188.0,37.0,20.89,50.0,0.4,6.9
2024-11-28T11:49:00.218368,True,12.844457951583557,77.85458940886741,34.0,1719.0,8188.0,37.0,13.36,50.0,0.3,6.9
2024-11-28T11:49:01.399143,True,12.6953286656693,78.76913046798067,45.0,1719.0,8188.0,37.0,13.38,50.0,0.3,6.9
2024-11-28T11:49:00.635371,True,12.844849294272159,77.8522174211826,16.0,1719.0,8188.0,37.0,20.69,50.0,0.3,6.9
2024-11-28T11:49:01.865911,True,12.812793001182031,78.04699567906435,48.0,1718.0,8188.0,37.0,16.39,50.0,0.2,6.9
2024-11-28T11:49:03.029936,True,12.774280388761689,78.28229611115792,34.0,1718.0,8188.0,37.0,12.74,50.0,0.3,6.9
2024-11-28T11:49:04.195672,True,12.907545004100905,77.47406650004213,24.0,1718.0,8188.0,37.0,19.4,50.0,0.4,6.9
2024-11-28T11:49:05.370119,True,12.888813643129287,77.58665985003792,31.0,1718.0,8188.0,37.0,18.65,50.0,0.2,6.9
2024-11-28T11:49:06.557683,True,12.81262913341844,78.04799386503413,37.0,1718.0,8188.0,37.0,12.61,50.0,0.5,6.9
2024-11-28T11:49:07.752481,True,12.932730039725097,77.32319447853072,18.0,1718.0,8188.0,37.0,16.2,50.0,0.2,6.9
2024-11-28T11:49:08.936473,True,12.981807614177415,77.03087503067765,24.0,1718.0,8188.0,37.0,20.68,50.0,0.3,6.9
2024-11-28T11:49:10.133185,True,12.965495731898496,77.12778752760988,36.0,1718.0,8188.0,37.0,14.03,50.0,0.4,6.9
2024-11-28T11:49:11.310756,True,12.831204047066445,77.9350087748489,42.0,1718.0,8188.0,37.0,12.79,50.0,0.3,6.9
2024-11-28T11:49:12.488285,True,12.949760076287445,77.221507897364,15.0,1718.0,8188.0,37.0,14.92,50.0,0.3,6.9
2024-11-28T11:49:13.671990,True,12.997249230990288,76.9393571076276,24.0,1726.0,8188.0,37.0,21.08,50.0,0.3,6.9
2024-11-28T11:49:14.876816,True,12.939050883412351,77.28542139686485,34.0,1726.0,8188.0,37.0,14.82,50.0,0.4,6.9
2024-11-28T11:49:16.093842,True,12.867217643812356,77.71687925717836,43.0,1726.0,8188.0,37.0,12.56,50.0,0.2,6.9
2024-11-28T11:49:17.314354,True,12.992886559501567,76.96519133146053,17.0,1726.0,8188.0,37.0,16.22,50.0,0.4,6.9
2024-11-28T11:49:18.487236,True,13.04654042033086,76.64867219831447,23.0,1726.0,8188.0,37.0,20.55,50.0,0.3,6.9
2024-11-28T11:49:19.712712,True,13.033764426574612,76.72380497848302,35.0,1726.0,8188.0,37.0,13.94,50.0,0.4,6.9
2024-11-28T11:49:20.940194,True,12.911318374138247,77.45142448063473,40.0,1726.0,8188.0,37.0,12.63,50.0,0.6,6.9
2024-11-28T11:49:22.159114,True,13.033343640650902,76.72628203257125,17.0,1726.0,8188.0,37.0,15.49,50.0,0.2,6.9
2024-11-28T11:49:23.383864,True,13.134795845237168,76.13365382931413,18.0,1730.0,8188.0,37.0,20.73,50.0,0.3,6.9
2024-11-28T11:49:24.575737,True,13.061601781977709,76.56028844638273,35.0,1730.0,8188.0,37.0,14.05,50.0,0.4,6.9
2024-11-28T11:49:25.808163,True,12.956009491569947,77.18425960174446,38.0,1730.0,8188.0,37.0,12.6,50.0,0.5,6.9
2024-11-28T11:49:27.035000,True,13.074316541887052,76.48583364157001,17.0,1730.0,8188.0,37.0,14.83,50.0,0.2,6.9
2024-11-28T11:49:28.240658,True,13.203542462093164,75.73725027741301,23.0,1730.0,8188.0,37.0,16.67,50.0,0.4,6.9
2024-11-28T11:49:29.477845,True,12.989792254340346,76.98352524967171,29.0,1730.0,8188.0,37.0,12.41,50.0,0.3,6.9
2024-11-28T11:49:30.649390,True,12.932399175624612,77.32517272470456,34.0,1730.0,8188.0,37.0,12.54,50.0,0.2,6.9
2024-11-28T11:49:31.829708,True,12.802022850336975,78.1126554522341,34.0,1730.0,8188.0,37.0,12.64,50.0,0.4,6.9
2024-11-28T11:49:31.061312,True,12.923003854049421,77.38138990701069,18.0,1726.0,8188.0,37.0,15.61,50.0,0.3,6.9
2024-11-28T11:49:32.255667,True,12.882737945079898,77.62325091630963,18.0,1726.0,8188.0,37.0,16.27,50.0,0.2,6.9
2024-11-28T11:49:33.471560,True,12.826938487734688,77.96092582467867,39.0,1726.0,8188.0,37.0,12.51,50.0,0.3,6.9
2024-11-28T11:49:34.667048,True,12.796751346317274,78.14483324221081,33.0,1726.0,8188.0,37.0,12.66,50.0,0.1,6.9
2024-11-28T11:49:35.846457,True,12.948277472028698,77.23034991798974,24.0,1726.0,8188.0,37.0,19.17,50.0,0.2,6.9
2024-11-28T11:49:37.020596,True,12.905338131183575,77.48731492619078,33.0,1726.0,8188.0,37.0,19.33,50.0,0.4,6.9
2024-11-28T11:49:38.255098,True,12.84709916199093,77.8385834335717,35.0,1726.0,8188.0,37.0,12.54,50.0,0.3,6.9
2024-11-28T11:49:39.494822,True,12.736464387425237,78.51472509021453,35.0,1726.0,8188.0,37.0,12.84,50.0,0.3,6.9
