timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T16:59:11.615481,False,,,,,,40.0,3842.0,8188.0,41.0,25.64,50.0,0.8,7.6
2024-11-29T16:59:12.653354,False,,,,,,35.0,3842.0,8188.0,41.0,25.65,50.0,0.2,7.6
2024-11-29T16:59:13.693414,False,,,,,,35.0,3842.0,8188.0,41.0,25.75,50.0,0.1,7.6
2024-11-29T16:59:14.732044,False,,,,,,33.0,3842.0,8188.0,41.0,26.35,50.0,0.1,7.6
2024-11-29T16:59:15.773043,False,,,,,,33.0,3838.0,8188.0,41.0,29.23,50.0,0.2,7.6
2024-11-29T16:59:16.815219,False,,,,,,38.0,3843.0,8188.0,41.0,28.0,50.0,0.1,7.5
2024-11-29T16:59:17.857959,False,,,,,,90.0,3846.0,8188.0,41.0,28.33,50.0,0.3,7.5
2024-11-29T16:59:18.916002,False,,,,,,30.0,3842.0,8188.0,42.0,40.21,50.0,0.4,7.5
2024-11-29T16:59:19.962255,False,,,,,,34.0,3842.0,8188.0,42.0,37.24,50.0,0.2,7.6
2024-11-29T16:59:21.000974,False,,,,,,26.0,3824.0,8188.0,42.0,34.57,50.0,0.2,7.6
2024-11-29T16:59:22.044446,False,,,,,,29.0,3824.0,8188.0,42.0,39.3,50.0,0.1,7.6
2024-11-29T16:59:23.085485,False,,,,,,29.0,3829.0,8188.0,42.0,34.38,50.0,0.2,7.6
2024-11-29T16:59:24.123625,False,,,,,,29.0,3840.0,8188.0,42.0,39.47,50.0,0.2,7.6
2024-11-29T16:59:25.162684,False,,,,,,32.0,3840.0,8188.0,42.0,31.97,50.0,0.1,7.6
2024-11-29T16:59:26.202346,False,,,,,,34.0,3828.0,8188.0,42.0,30.03,50.0,0.1,7.5
2024-11-29T16:59:27.248434,False,,,,,,40.0,3825.0,8188.0,41.0,29.8,50.0,0.1,7.6
2024-11-29T16:59:28.320158,False,,,,,,35.0,3794.0,8188.0,41.0,29.69,50.0,0.4,7.6
2024-11-29T16:59:29.390494,False,,,,,,35.0,3820.0,8188.0,42.0,29.98,50.0,0.1,7.6
2024-11-29T16:59:30.460614,False,,,,,,31.0,3820.0,8188.0,41.0,29.93,50.0,0.2,7.6
2024-11-29T16:59:31.528864,False,,,,,,33.0,3816.0,8188.0,41.0,29.78,50.0,0.1,7.6
2024-11-29T16:59:32.605672,False,,,,,,39.0,3816.0,8188.0,41.0,29.86,50.0,0.1,7.6
2024-11-29T16:59:33.681701,False,,,,,,34.0,3816.0,8188.0,41.0,29.67,50.0,0.2,7.6
2024-11-29T16:59:34.758677,False,,,,,,32.0,3824.0,8188.0,41.0,28.88,50.0,0.2,7.6
2024-11-29T16:59:35.834618,False,,,,,,33.0,3818.0,8188.0,41.0,29.64,50.0,0.2,7.6
2024-11-29T16:59:36.910243,False,,,,,,29.0,3822.0,8188.0,41.0,29.3,50.0,0.2,7.6
2024-11-29T16:59:37.977359,False,,,,,,47.0,3826.0,8188.0,42.0,32.72,50.0,0.1,7.6
2024-11-29T16:59:39.060682,False,,,,,,29.0,3821.0,8188.0,42.0,42.81,50.0,0.1,7.6
2024-11-29T16:59:40.143018,False,,,,,,38.0,3821.0,8188.0,42.0,38.25,50.0,0.1,7.6
2024-11-29T16:59:41.229449,False,,,,,,38.0,3818.0,8188.0,41.0,29.31,50.0,0.2,7.6
2024-11-29T16:59:41.224327,False,,,,,,44.0,3817.0,8188.0,41.0,26.15,50.0,0.3,7.6
2024-11-29T16:59:42.308811,False,,,,,,35.0,3797.0,8188.0,42.0,29.36,50.0,0.3,7.6
2024-11-29T16:59:43.352181,False,,,,,,28.0,3811.0,8188.0,42.0,39.53,50.0,0.1,7.6
