timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T17:10:50.618609,True,0.563,59.817,42.836,42.836,111.021,38.0,3735.0,8188.0,36.0,13.22,50.0,1.2,8.1
2024-11-29T17:10:52.086902,True,0.563,59.817,42.836,42.836,111.021,34.0,3735.0,8188.0,36.0,12.94,50.0,0.6,8.0
2024-11-29T17:10:53.565336,True,0.563,59.817,42.836,42.836,111.021,5.0,3735.0,8188.0,37.0,24.76,50.0,0.5,8.0
2024-11-29T17:10:55.051544,True,0.563,59.817,42.836,42.836,111.021,5.0,3735.0,8188.0,37.0,27.27,50.0,0.3,8.0
2024-11-29T17:10:57.033493,True,0.563,59.817,42.836,42.836,111.021,5.0,3735.0,8188.0,38.0,27.3,50.0,2.0,8.2
