timestamp,game_running,game_cpu_usage,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,total_cpu_usage,memory_usage,memory_total,fan_speed
2024-11-27T14:26:03.276060,False,0.0,23.0,2113.0,8188.0,35.0,11.34,0.0,5.9,13.6,50.0
2024-11-27T14:26:04.505890,False,0.0,15.0,2113.0,8188.0,35.0,11.78,0.0,5.9,13.6,50.0
2024-11-27T14:26:05.724621,False,0.0,26.0,2112.0,8188.0,35.0,11.49,0.0,5.9,13.6,50.0
2024-11-27T14:26:06.942150,False,0.0,18.0,2112.0,8188.0,34.0,11.45,0.0,5.9,13.6,50.0
2024-11-27T14:26:08.151864,False,0.0,20.0,2112.0,8188.0,34.0,11.53,0.0,5.9,13.6,50.0
2024-11-27T14:26:09.363341,False,0.0,31.0,2112.0,8188.0,34.0,10.07,0.0,5.9,13.6,50.0
2024-11-27T14:26:10.578578,False,0.0,18.0,2112.0,8188.0,34.0,11.27,0.0,5.9,13.6,0.0
2024-11-27T14:26:11.789859,False,0.0,55.0,2112.0,8188.0,34.0,9.98,0.0,5.9,13.6,0.0
2024-11-27T14:26:12.983743,False,0.0,10.0,2201.0,8188.0,35.0,18.1,0.0,5.9,13.6,0.0
2024-11-27T14:26:14.196822,False,0.0,9.0,2237.0,8188.0,36.0,29.95,0.0,5.9,13.6,0.0
2024-11-27T14:26:15.412627,False,0.0,13.0,2111.0,8188.0,35.0,21.88,0.0,6.0,13.6,0.0
2024-11-27T14:26:16.601686,False,0.0,90.0,2222.0,8188.0,36.0,14.37,0.0,6.0,13.6,0.0
2024-11-27T14:26:16.929215,False,0.0,7.0,2189.0,8188.0,36.0,28.43,0.0,6.0,13.6,0.0
2024-11-27T14:26:18.115722,False,0.0,8.0,2173.0,8188.0,35.0,19.16,0.0,6.0,13.6,0.0
2024-11-27T14:26:19.318051,False,0.0,55.0,2168.0,8188.0,35.0,9.32,0.0,6.0,13.6,0.0
2024-11-27T14:26:20.523253,False,0.0,15.0,2162.0,8188.0,35.0,10.41,0.0,6.0,13.6,0.0
2024-11-27T14:26:21.721270,False,0.0,26.0,2164.0,8188.0,35.0,10.65,0.0,6.0,13.6,0.0
2024-11-27T14:26:22.933678,False,0.0,17.0,2128.0,8188.0,35.0,9.56,0.0,6.0,13.6,0.0
2024-11-27T14:26:24.124830,False,0.0,29.0,2131.0,8188.0,35.0,11.56,0.0,6.0,13.6,0.0
2024-11-27T14:26:25.316064,False,0.0,6.0,2132.0,8188.0,36.0,21.3,0.0,6.0,13.6,0.0
2024-11-27T14:26:26.510420,False,0.0,7.0,2135.0,8188.0,36.0,26.77,0.0,6.0,13.6,0.0
2024-11-27T14:26:27.712382,False,0.0,14.0,2155.0,8188.0,37.0,26.95,0.0,6.0,13.6,0.0
2024-11-27T14:26:28.923315,False,0.0,23.0,2158.0,8188.0,36.0,20.99,0.0,6.0,13.6,0.0
2024-11-27T14:26:30.131628,False,0.0,9.0,2158.0,8188.0,36.0,12.2,0.0,6.0,13.6,0.0
2024-11-27T14:26:31.346707,False,0.0,18.0,2119.0,8188.0,36.0,12.19,0.0,6.0,13.6,0.0
2024-11-27T14:26:32.538129,False,0.0,26.0,2129.0,8188.0,36.0,12.04,0.0,6.0,13.6,0.0
2024-11-27T14:26:33.731498,False,0.0,14.0,2136.0,8188.0,36.0,11.61,0.0,6.0,13.6,0.0
2024-11-27T14:26:34.926860,False,0.0,16.0,2135.0,8188.0,36.0,11.48,0.0,6.0,13.6,0.0
2024-11-27T14:26:36.133962,False,0.0,46.0,2163.0,8188.0,36.0,9.51,0.6,6.0,13.6,0.0
2024-11-27T14:26:37.340285,False,0.0,15.0,2161.0,8188.0,36.0,11.77,0.0,6.0,13.6,0.0
2024-11-27T14:26:38.562579,False,0.0,28.0,2161.0,8188.0,36.0,10.54,0.0,6.0,13.6,0.0
