timestamp,game_running,game_cpu_usage,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,total_cpu_usage,memory_usage,memory_total,fan_speed
2024-11-27T14:25:08.249403,False,0.0,7.0,1778.0,8188.0,35.0,7.03,0.0,5.9,13.6,50.0
2024-11-27T14:25:09.445552,False,0.0,11.0,1778.0,8188.0,35.0,6.74,0.0,5.9,13.6,50.0
2024-11-27T14:25:10.652398,False,0.0,4.0,1778.0,8188.0,35.0,6.72,0.0,5.9,13.6,50.0
2024-11-27T14:25:11.847723,False,0.0,27.0,1778.0,8188.0,35.0,6.7,0.0,5.9,13.6,50.0
2024-11-27T14:25:13.035091,False,0.0,5.0,1778.0,8188.0,35.0,6.66,0.0,5.9,13.6,50.0
2024-11-27T14:25:13.302048,False,0.0,54.0,1782.0,8188.0,35.0,7.27,0.0,5.9,13.6,50.0
2024-11-27T14:25:14.507176,False,0.0,5.0,1791.0,8188.0,36.0,27.97,0.0,5.9,13.6,50.0
2024-11-27T14:25:15.705853,False,0.0,27.0,1787.0,8188.0,35.0,23.15,0.6,5.9,13.6,50.0
2024-11-27T14:25:16.910730,False,0.0,12.0,1785.0,8188.0,35.0,17.1,0.0,5.9,13.6,50.0
2024-11-27T14:25:18.108677,False,0.0,16.0,1785.0,8188.0,35.0,17.04,0.0,5.9,13.6,50.0
2024-11-27T14:25:19.303763,False,0.0,32.0,1785.0,8188.0,35.0,15.38,0.0,5.9,13.6,50.0
2024-11-27T14:25:20.509956,False,0.0,37.0,1774.0,8188.0,35.0,13.2,0.0,5.9,13.6,50.0
2024-11-27T14:25:21.702768,False,0.0,44.0,1774.0,8188.0,35.0,12.95,0.0,5.9,13.6,50.0
2024-11-27T14:25:22.913088,False,0.0,35.0,1774.0,8188.0,35.0,13.02,0.0,5.9,13.6,50.0
2024-11-27T14:25:24.113730,False,0.0,42.0,1774.0,8188.0,35.0,12.97,0.0,5.9,13.6,50.0
2024-11-27T14:25:25.304898,False,0.0,35.0,1774.0,8188.0,35.0,12.95,0.0,5.9,13.6,50.0
2024-11-27T14:25:26.495177,False,0.0,11.0,1774.0,8188.0,35.0,16.95,0.0,5.9,13.6,50.0
2024-11-27T14:25:27.706726,False,0.0,5.0,1774.0,8188.0,35.0,22.33,0.0,5.9,13.6,50.0
2024-11-27T14:25:28.897700,False,0.0,12.0,1774.0,8188.0,35.0,17.04,0.0,5.9,13.6,50.0
2024-11-27T14:25:30.099185,False,0.0,32.0,1774.0,8188.0,35.0,16.39,0.0,5.9,13.6,50.0
2024-11-27T14:25:31.294101,False,0.0,21.0,1722.0,8188.0,35.0,12.58,0.0,5.9,13.6,50.0
2024-11-27T14:25:32.488297,False,0.0,35.0,1737.0,8188.0,35.0,9.74,0.0,5.9,13.6,50.0
2024-11-27T14:25:33.682682,False,0.0,10.0,1747.0,8188.0,35.0,9.52,0.0,5.9,13.6,50.0
2024-11-27T14:25:34.894443,False,0.0,16.0,1795.0,8188.0,36.0,25.74,0.0,5.9,13.6,50.0
2024-11-27T14:25:36.113935,False,0.0,60.0,1876.0,8188.0,36.0,26.53,0.0,5.9,13.6,50.0
2024-11-27T14:25:37.301113,False,0.0,3.0,1895.0,8188.0,36.0,30.74,0.0,5.9,13.6,50.0
2024-11-27T14:25:38.494076,False,0.0,4.0,1884.0,8188.0,36.0,28.43,0.0,5.9,13.6,50.0
2024-11-27T14:25:39.683283,False,0.0,11.0,1895.0,8188.0,35.0,16.79,0.6,5.9,13.6,50.0
2024-11-27T14:25:40.885880,False,0.0,18.0,1895.0,8188.0,35.0,13.83,0.0,5.9,13.6,50.0
2024-11-27T14:25:42.078554,False,0.0,19.0,1895.0,8188.0,35.0,11.66,0.0,5.9,13.6,50.0
2024-11-27T14:25:43.292152,False,0.0,31.0,1895.0,8188.0,35.0,11.57,0.0,5.9,13.6,50.0
2024-11-27T14:25:44.483329,False,0.0,18.0,1895.0,8188.0,35.0,11.06,0.6,5.9,13.6,50.0
2024-11-27T14:25:44.818390,False,0.0,58.0,1895.0,8188.0,35.0,11.02,0.0,5.9,13.6,50.0
2024-11-27T14:25:46.020833,False,0.0,8.0,1895.0,8188.0,35.0,11.6,0.0,5.9,13.6,50.0
2024-11-27T14:25:47.238082,False,0.0,32.0,1916.0,8188.0,35.0,8.82,0.0,5.9,13.6,50.0
2024-11-27T14:25:48.427078,False,0.0,14.0,1916.0,8188.0,35.0,9.61,0.0,5.9,13.6,50.0
2024-11-27T14:25:49.618746,False,0.0,13.0,1916.0,8188.0,35.0,11.52,0.0,5.9,13.6,50.0
2024-11-27T14:25:50.830955,False,0.0,14.0,1921.0,8188.0,35.0,10.31,0.0,5.9,13.6,50.0
2024-11-27T14:25:52.034654,False,0.0,13.0,1921.0,8188.0,35.0,11.48,0.6,5.9,13.6,50.0
2024-11-27T14:25:53.247085,False,0.0,24.0,1921.0,8188.0,35.0,10.58,0.0,5.9,13.6,50.0
2024-11-27T14:25:54.448547,False,0.0,37.0,2119.0,8188.0,35.0,11.96,0.0,5.9,13.6,50.0
2024-11-27T14:25:55.641924,False,0.0,37.0,2119.0,8188.0,35.0,12.61,0.0,5.9,13.6,50.0
2024-11-27T14:25:56.832972,False,0.0,23.0,2119.0,8188.0,35.0,12.45,0.0,5.9,13.6,50.0
2024-11-27T14:25:58.044359,False,0.0,24.0,2119.0,8188.0,35.0,12.32,0.0,5.9,13.6,50.0
