timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed
2024-11-27T14:32:52.221908,True,20.0,2040.0,8188.0,35.0,9.01,50.0
2024-11-27T14:32:53.871368,True,16.0,2025.0,8188.0,35.0,11.39,50.0
2024-11-27T14:32:55.496266,True,15.0,2026.0,8188.0,35.0,11.56,50.0
2024-11-27T14:32:57.145283,True,25.0,2026.0,8188.0,35.0,7.82,50.0
2024-11-27T14:32:58.894529,True,33.0,2099.0,8188.0,35.0,13.87,50.0
2024-11-27T14:33:00.548650,True,10.0,2051.0,8188.0,35.0,20.73,50.0
2024-11-27T14:33:02.213450,True,36.0,2007.0,8188.0,35.0,16.08,50.0
2024-11-27T14:33:03.917260,True,8.0,2008.0,8188.0,35.0,18.26,50.0
2024-11-27T14:33:04.661350,True,6.0,1996.0,8188.0,36.0,26.65,50.0
2024-11-27T14:33:06.350823,True,19.0,1997.0,8188.0,35.0,23.54,50.0
2024-11-27T14:33:08.040517,True,28.0,1997.0,8188.0,35.0,8.78,50.0
2024-11-27T14:33:09.666865,False,29.0,1708.0,8188.0,35.0,8.5,50.0
2024-11-27T14:33:11.275031,False,29.0,1723.0,8188.0,35.0,6.87,50.0
2024-11-27T14:33:12.898260,False,6.0,1723.0,8188.0,35.0,6.65,50.0
2024-11-27T14:33:14.515637,False,7.0,1709.0,8188.0,35.0,6.7,50.0
2024-11-27T14:33:16.115696,False,5.0,1698.0,8188.0,35.0,6.79,50.0
2024-11-27T14:33:17.740782,False,13.0,1694.0,8188.0,35.0,7.06,50.0
2024-11-27T14:33:19.365098,False,5.0,1692.0,8188.0,35.0,6.84,50.0
2024-11-27T14:33:21.005708,False,33.0,1725.0,8188.0,35.0,6.94,50.0
2024-11-27T14:33:22.697749,False,72.0,1713.0,8188.0,35.0,7.36,50.0
