timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T16:23:05.590448,False,,,,,,16.0,1799.0,8188.0,38.0,21.67,50.0,1.0,7.5
2024-11-29T16:23:06.631661,False,,,,,,22.0,1799.0,8188.0,38.0,18.41,50.0,0.1,7.5
2024-11-29T16:23:07.671524,False,,,,,,21.0,1799.0,8188.0,38.0,18.43,50.0,0.1,7.6
2024-11-29T16:23:08.712406,False,,,,,,22.0,1799.0,8188.0,38.0,21.58,50.0,0.2,7.6
2024-11-29T16:23:09.756827,False,,,,,,21.0,1799.0,8188.0,38.0,18.12,50.0,0.2,7.6
2024-11-29T16:23:10.803170,False,,,,,,42.0,1799.0,8188.0,37.0,15.89,50.0,0.1,7.6
2024-11-29T16:23:11.847805,False,,,,,,20.0,1799.0,8188.0,38.0,15.73,50.0,0.1,7.6
2024-11-29T16:23:12.008204,False,,,,,,21.0,1799.0,8188.0,38.0,18.03,50.0,0.2,7.5
2024-11-29T16:23:13.054354,False,,,,,,23.0,1786.0,8188.0,38.0,24.7,50.0,0.2,7.6
2024-11-29T16:23:14.100643,False,,,,,,21.0,1805.0,8188.0,38.0,28.04,50.0,0.1,7.6
2024-11-29T16:23:15.140058,False,,,,,,21.0,1815.0,8188.0,38.0,28.03,50.0,0.1,7.6
2024-11-29T16:23:16.190430,False,,,,,,25.0,1815.0,8188.0,38.0,28.09,50.0,0.1,7.6
2024-11-29T16:23:17.236140,False,,,,,,20.0,1816.0,8188.0,38.0,21.59,50.0,0.1,7.6
2024-11-29T16:23:18.279564,False,,,,,,18.0,1816.0,8188.0,38.0,18.46,50.0,0.1,7.6
2024-11-29T16:23:19.324498,False,,,,,,23.0,1816.0,8188.0,38.0,21.49,50.0,0.2,7.6
2024-11-29T16:23:20.369156,False,,,,,,39.0,1816.0,8188.0,38.0,16.57,50.0,0.2,7.6
2024-11-29T16:23:21.414681,False,,,,,,18.0,1816.0,8188.0,38.0,18.18,50.0,0.1,7.6
2024-11-29T16:23:22.485997,False,,,,,,24.0,1816.0,8188.0,38.0,21.04,50.0,0.3,7.6
2024-11-29T16:23:23.527011,False,,,,,,39.0,1816.0,8188.0,38.0,15.13,50.0,0.1,7.6
2024-11-29T16:23:24.568141,False,,,,,,19.0,1816.0,8188.0,38.0,17.18,50.0,0.2,7.6
2024-11-29T16:23:25.615044,False,,,,,,26.0,1816.0,8188.0,38.0,17.66,50.0,0.1,7.6
2024-11-29T16:23:26.667889,False,,,,,,22.0,1816.0,8188.0,38.0,15.67,50.0,0.2,7.6
2024-11-29T16:23:27.718009,False,,,,,,19.0,1816.0,8188.0,38.0,20.88,50.0,0.4,7.6
2024-11-29T16:23:28.768710,False,,,,,,53.0,1816.0,8188.0,38.0,17.58,50.0,0.2,7.6
2024-11-29T16:23:29.819122,False,,,,,,20.0,1816.0,8188.0,38.0,16.4,50.0,0.4,7.6
2024-11-29T16:23:30.874581,False,,,,,,26.0,1816.0,8188.0,38.0,17.96,50.0,0.1,7.6
2024-11-29T16:23:31.927852,False,,,,,,20.0,1816.0,8188.0,38.0,15.33,50.0,0.1,7.6
2024-11-29T16:23:32.982280,False,,,,,,20.0,1816.0,8188.0,38.0,20.9,50.0,0.2,7.6
2024-11-29T16:23:34.041706,False,,,,,,54.0,1816.0,8188.0,38.0,17.66,50.0,0.1,7.6
2024-11-29T16:23:35.100925,False,,,,,,20.0,1816.0,8188.0,38.0,17.18,50.0,0.1,7.6
2024-11-29T16:23:36.185218,False,,,,,,21.0,1816.0,8188.0,37.0,17.61,50.0,0.1,7.6
2024-11-29T16:23:37.245456,False,,,,,,19.0,1816.0,8188.0,38.0,15.13,50.0,0.2,7.6
2024-11-29T16:23:38.308906,False,,,,,,19.0,1814.0,8188.0,38.0,21.37,50.0,0.2,7.6
2024-11-29T16:23:39.363833,False,,,,,,28.0,1814.0,8188.0,38.0,19.35,50.0,0.2,7.6
2024-11-29T16:23:40.409422,False,,,,,,20.0,1813.0,8188.0,38.0,17.12,50.0,0.2,7.6
2024-11-29T16:23:41.477002,False,,,,,,20.0,1813.0,8188.0,38.0,21.07,50.0,0.1,7.6
2024-11-29T16:23:42.523644,False,,,,,,27.0,1813.0,8188.0,38.0,18.84,50.0,0.2,7.6
2024-11-29T16:23:43.564735,False,,,,,,21.0,1813.0,8188.0,38.0,17.04,50.0,0.3,7.6
2024-11-29T16:23:43.652240,False,,,,,,20.0,1813.0,8188.0,38.0,20.89,50.0,0.2,7.6
2024-11-29T16:23:44.689934,False,,,,,,20.0,1813.0,8188.0,38.0,18.38,50.0,0.1,7.6
2024-11-29T16:23:45.749589,False,,,,,,36.0,1813.0,8188.0,38.0,14.81,50.0,0.4,7.6
2024-11-29T16:23:46.808732,False,,,,,,21.0,1813.0,8188.0,38.0,17.08,50.0,0.1,7.6
2024-11-29T16:23:47.849876,False,,,,,,18.0,1813.0,8188.0,38.0,17.96,50.0,0.2,7.6
2024-11-29T16:23:48.893273,False,,,,,,18.0,1813.0,8188.0,38.0,15.48,50.0,0.3,7.5
2024-11-29T16:23:49.934579,False,,,,,,21.0,1813.0,8188.0,38.0,17.97,50.0,0.2,7.6
2024-11-29T16:23:50.998481,False,,,,,,36.0,1813.0,8188.0,37.0,15.19,50.0,0.1,7.6
2024-11-29T16:23:52.065322,False,,,,,,19.0,1813.0,8188.0,38.0,17.1,50.0,0.3,7.6
2024-11-29T16:23:53.132800,False,,,,,,45.0,1812.0,8188.0,37.0,17.13,50.0,0.2,7.6
2024-11-29T16:23:54.197338,False,,,,,,20.0,1812.0,8188.0,38.0,16.29,50.0,0.2,7.6
2024-11-29T16:23:55.245775,False,,,,,,20.0,1812.0,8188.0,38.0,21.24,50.0,0.2,7.6
2024-11-29T16:23:56.300239,False,,,,,,46.0,1812.0,8188.0,38.0,17.93,50.0,0.1,7.6
2024-11-29T16:23:57.353899,False,,,,,,20.0,1812.0,8188.0,38.0,17.03,50.0,0.2,7.6
2024-11-29T16:23:58.413480,False,,,,,,20.0,1812.0,8188.0,38.0,21.36,50.0,0.2,7.6
2024-11-29T16:23:59.470745,False,,,,,,50.0,1812.0,8188.0,38.0,17.06,50.0,0.2,7.6
2024-11-29T16:24:00.534592,False,,,,,,20.0,1812.0,8188.0,38.0,21.04,50.0,0.3,7.6
2024-11-29T16:24:01.601068,False,,,,,,54.0,1812.0,8188.0,38.0,18.42,50.0,0.2,7.6
2024-11-29T16:24:02.670545,False,,,,,,21.0,1812.0,8188.0,38.0,21.06,50.0,0.4,7.6
2024-11-29T16:24:03.749153,False,,,,,,43.0,1812.0,8188.0,37.0,19.16,50.0,0.2,7.6
2024-11-29T16:24:04.826509,False,,,,,,26.0,1812.0,8188.0,38.0,20.29,50.0,0.3,7.6
2024-11-29T16:24:05.897055,False,,,,,,40.0,1811.0,8188.0,38.0,19.75,50.0,0.1,7.6
2024-11-29T16:24:06.971682,False,,,,,,51.0,1811.0,8188.0,37.0,15.62,50.0,0.1,7.6
2024-11-29T16:24:08.026125,False,,,,,,17.0,1810.0,8188.0,38.0,15.82,50.0,0.3,7.6
2024-11-29T16:24:09.088799,False,,,,,,19.0,1810.0,8188.0,38.0,21.44,50.0,0.2,7.6
2024-11-29T16:24:10.139315,False,,,,,,49.0,1810.0,8188.0,38.0,18.56,50.0,0.1,7.6
2024-11-29T16:24:11.186736,False,,,,,,19.0,1808.0,8188.0,38.0,20.98,50.0,0.2,7.6
2024-11-29T16:24:12.240024,False,,,,,,30.0,1808.0,8188.0,38.0,19.07,50.0,0.2,7.6
2024-11-29T16:24:13.293653,False,,,,,,41.0,1808.0,8188.0,38.0,15.39,50.0,0.5,7.6
2024-11-29T16:24:14.341275,False,,,,,,19.0,1808.0,8188.0,38.0,16.51,50.0,0.3,7.6
2024-11-29T16:24:15.403957,False,,,,,,24.0,1808.0,8188.0,38.0,21.4,50.0,0.1,7.6
2024-11-29T16:24:15.569854,False,,,,,,23.0,1808.0,8188.0,38.0,18.49,50.0,0.1,7.6
2024-11-29T16:24:16.630753,False,,,,,,20.0,1808.0,8188.0,38.0,20.97,50.0,0.2,7.6
2024-11-29T16:24:17.690719,False,,,,,,31.0,1808.0,8188.0,38.0,18.69,50.0,0.1,7.6
2024-11-29T16:24:18.768380,False,,,,,,40.0,1808.0,8188.0,37.0,14.6,50.0,0.2,7.6
2024-11-29T16:24:19.820878,False,,,,,,19.0,1808.0,8188.0,38.0,17.63,50.0,0.0,7.6
2024-11-29T16:24:20.891187,False,,,,,,19.0,1808.0,8188.0,38.0,21.2,50.0,0.3,7.6
2024-11-29T16:24:21.956767,False,,,,,,20.0,1808.0,8188.0,38.0,18.29,50.0,0.1,7.6
2024-11-29T16:24:23.027113,False,,,,,,20.0,1808.0,8188.0,38.0,20.83,50.0,0.2,7.6
2024-11-29T16:24:24.102350,False,,,,,,22.0,1808.0,8188.0,37.0,17.66,50.0,0.1,7.6
2024-11-29T16:24:25.177512,False,,,,,,41.0,1808.0,8188.0,37.0,13.96,50.0,0.2,7.6
2024-11-29T16:24:26.232808,False,,,,,,25.0,1808.0,8188.0,38.0,19.18,50.0,0.2,7.6
2024-11-29T16:24:27.292257,False,,,,,,19.0,1808.0,8188.0,38.0,20.66,50.0,0.3,7.6
2024-11-29T16:24:28.354995,False,,,,,,20.0,1808.0,8188.0,38.0,18.4,50.0,0.1,7.6
2024-11-29T16:24:29.405366,False,,,,,,26.0,1808.0,8188.0,38.0,21.05,50.0,0.2,7.6
2024-11-29T16:24:30.467375,False,,,,,,41.0,1808.0,8188.0,37.0,16.51,50.0,0.2,7.6
2024-11-29T16:24:31.518745,False,,,,,,51.0,1808.0,8188.0,37.0,13.77,50.0,0.1,7.6
2024-11-29T16:24:32.560777,False,,,,,,19.0,1808.0,8188.0,38.0,20.49,50.0,0.2,7.6
2024-11-29T16:24:33.615765,False,,,,,,40.0,1808.0,8188.0,38.0,19.97,50.0,0.2,7.6
2024-11-29T16:24:34.675938,False,,,,,,26.0,1808.0,8188.0,38.0,17.08,50.0,0.1,7.6
2024-11-29T16:24:35.742613,False,,,,,,20.0,1808.0,8188.0,38.0,17.4,50.0,0.2,7.6
2024-11-29T16:24:36.801833,False,,,,,,20.0,1808.0,8188.0,38.0,14.76,50.0,0.2,7.6
2024-11-29T16:24:37.867123,False,,,,,,17.0,1808.0,8188.0,38.0,17.78,50.0,0.2,7.6
2024-11-29T16:24:38.935242,False,,,,,,36.0,1808.0,8188.0,37.0,15.54,50.0,0.2,7.6
2024-11-29T16:24:40.005075,False,,,,,,23.0,1808.0,8188.0,38.0,19.24,50.0,0.2,7.6
2024-11-29T16:24:41.080332,False,,,,,,17.0,1808.0,8188.0,37.0,20.76,50.0,0.1,7.6
2024-11-29T16:24:42.155696,False,,,,,,17.0,1808.0,8188.0,38.0,17.05,50.0,0.2,7.6
2024-11-29T16:24:43.199535,False,,,,,,23.0,1808.0,8188.0,38.0,21.28,50.0,0.2,7.6
2024-11-29T16:24:44.272428,False,,,,,,41.0,1808.0,8188.0,37.0,17.1,50.0,0.2,7.6
2024-11-29T16:24:45.339652,False,,,,,,26.0,1808.0,8188.0,38.0,15.8,50.0,0.2,7.6
2024-11-29T16:24:46.407174,False,,,,,,20.0,1808.0,8188.0,38.0,17.89,50.0,0.2,7.6
2024-11-29T16:24:47.491279,False,,,,,,41.0,1808.0,8188.0,37.0,14.34,50.0,0.3,7.6
2024-11-29T16:24:47.658916,False,,,,,,19.0,1808.0,8188.0,38.0,19.41,50.0,0.2,7.6
2024-11-29T16:24:48.724043,False,,,,,,19.0,1808.0,8188.0,38.0,21.63,50.0,0.3,7.6
2024-11-29T16:24:49.762003,False,,,,,,19.0,1808.0,8188.0,38.0,18.44,50.0,0.1,7.6
2024-11-29T16:24:50.797858,False,,,,,,19.0,1808.0,8188.0,38.0,21.18,50.0,0.1,7.6
2024-11-29T16:24:51.842233,False,,,,,,41.0,1808.0,8188.0,38.0,15.72,50.0,0.1,7.6
2024-11-29T16:24:52.881950,False,,,,,,20.0,1808.0,8188.0,38.0,17.92,50.0,0.2,7.6
2024-11-29T16:24:53.922139,False,,,,,,20.0,1808.0,8188.0,38.0,21.63,50.0,0.1,7.6
2024-11-29T16:24:54.962087,False,,,,,,20.0,1808.0,8188.0,38.0,18.48,50.0,0.1,7.6
2024-11-29T16:24:56.000947,False,,,,,,20.0,1808.0,8188.0,38.0,21.18,50.0,0.2,7.6
2024-11-29T16:24:57.039700,False,,,,,,21.0,1808.0,8188.0,38.0,18.09,50.0,0.3,7.6
2024-11-29T16:24:58.077877,False,,,,,,41.0,1808.0,8188.0,37.0,14.25,50.0,0.3,7.6
2024-11-29T16:24:59.116497,False,,,,,,20.0,1808.0,8188.0,38.0,18.52,50.0,0.2,7.6
2024-11-29T16:25:00.152987,False,,,,,,20.0,1808.0,8188.0,38.0,21.41,50.0,0.2,7.6
2024-11-29T16:25:01.188444,False,,,,,,20.0,1808.0,8188.0,38.0,16.96,50.0,0.2,7.6
2024-11-29T16:25:02.225990,False,,,,,,20.0,1808.0,8188.0,38.0,17.92,50.0,0.1,7.6
2024-11-29T16:25:03.263984,False,,,,,,43.0,1808.0,8188.0,37.0,15.19,50.0,0.1,7.6
2024-11-29T16:25:04.305795,False,,,,,,19.0,1808.0,8188.0,38.0,17.91,50.0,0.1,7.6
2024-11-29T16:25:05.343836,False,,,,,,24.0,1808.0,8188.0,38.0,21.6,50.0,0.2,7.6
2024-11-29T16:25:06.386721,False,,,,,,20.0,1808.0,8188.0,38.0,17.97,50.0,0.1,7.6
2024-11-29T16:25:07.423221,False,,,,,,21.0,1808.0,8188.0,37.0,14.71,50.0,0.4,7.6
2024-11-29T16:25:08.460933,False,,,,,,25.0,1808.0,8188.0,37.0,17.95,50.0,0.2,7.6
2024-11-29T16:25:09.497859,False,,,,,,37.0,1807.0,8188.0,37.0,16.33,50.0,0.1,7.6
2024-11-29T16:25:10.535614,False,,,,,,19.0,1807.0,8188.0,38.0,17.58,50.0,0.2,7.6
2024-11-29T16:25:11.572390,False,,,,,,23.0,1807.0,8188.0,38.0,21.19,50.0,0.3,7.6
2024-11-29T16:25:12.611363,False,,,,,,21.0,1807.0,8188.0,37.0,17.78,50.0,0.2,7.6
2024-11-29T16:25:13.656889,False,,,,,,36.0,1807.0,8188.0,37.0,13.53,50.0,0.1,7.6
2024-11-29T16:25:14.693517,False,,,,,,23.0,1807.0,8188.0,38.0,19.95,50.0,0.3,7.6
2024-11-29T16:25:15.731796,False,,,,,,18.0,1807.0,8188.0,38.0,20.77,50.0,0.2,7.6
2024-11-29T16:25:16.770066,False,,,,,,17.0,1807.0,8188.0,38.0,18.31,50.0,0.2,7.6
2024-11-29T16:25:17.806070,False,,,,,,23.0,1807.0,8188.0,38.0,21.07,50.0,0.1,7.6
2024-11-29T16:25:18.844069,False,,,,,,19.0,1807.0,8188.0,37.0,17.0,50.0,0.2,7.6
2024-11-29T16:25:18.970812,False,,,,,,36.0,1807.0,8188.0,37.0,13.48,50.0,0.2,7.6
2024-11-29T16:25:20.012333,False,,,,,,23.0,1807.0,8188.0,38.0,19.83,50.0,0.3,7.6
2024-11-29T16:25:21.048816,False,,,,,,17.0,1807.0,8188.0,38.0,20.58,50.0,0.2,7.6
2024-11-29T16:25:22.086999,False,,,,,,17.0,1807.0,8188.0,38.0,18.26,50.0,0.1,7.6
2024-11-29T16:25:23.123642,False,,,,,,24.0,1790.0,8188.0,38.0,21.06,50.0,0.1,7.6
2024-11-29T16:25:24.164788,False,,,,,,21.0,1804.0,8188.0,38.0,17.8,50.0,0.2,7.6
2024-11-29T16:25:25.214889,False,,,,,,35.0,1815.0,8188.0,38.0,18.06,50.0,0.1,7.6
2024-11-29T16:25:26.254658,False,,,,,,25.0,1799.0,8188.0,38.0,18.76,50.0,0.2,7.6
2024-11-29T16:25:27.289231,False,,,,,,20.0,1797.0,8188.0,38.0,21.68,50.0,0.2,7.6
2024-11-29T16:25:28.338104,False,,,,,,27.0,1791.0,8188.0,38.0,19.26,50.0,0.1,7.6
2024-11-29T16:25:29.384642,False,,,,,,21.0,1787.0,8188.0,38.0,20.96,50.0,0.1,7.6
2024-11-29T16:25:30.439365,False,,,,,,47.0,1780.0,8188.0,37.0,17.76,50.0,0.3,7.6
2024-11-29T16:25:31.485716,False,,,,,,25.0,1780.0,8188.0,38.0,19.58,50.0,0.1,7.6
2024-11-29T16:25:32.536305,False,,,,,,21.0,1766.0,8188.0,37.0,20.49,50.0,0.3,7.6
2024-11-29T16:25:33.585356,False,,,,,,22.0,1766.0,8188.0,38.0,17.06,50.0,0.3,7.6
2024-11-29T16:25:34.634085,False,,,,,,27.0,1765.0,8188.0,38.0,17.18,50.0,0.2,7.6
2024-11-29T16:25:35.679106,False,,,,,,24.0,1804.0,8188.0,38.0,21.3,50.0,0.2,7.6
2024-11-29T16:25:36.723400,False,,,,,,29.0,1808.0,8188.0,38.0,18.83,50.0,0.1,7.6
2024-11-29T16:25:37.771453,False,,,,,,43.0,1823.0,8188.0,38.0,17.4,50.0,0.1,7.6
2024-11-29T16:25:38.820610,False,,,,,,25.0,1841.0,8188.0,38.0,20.35,50.0,0.2,7.6
2024-11-29T16:25:39.867096,False,,,,,,31.0,1830.0,8188.0,38.0,20.5,50.0,0.2,7.6
2024-11-29T16:25:40.921941,False,,,,,,24.0,1821.0,8188.0,38.0,16.56,50.0,0.2,7.6
2024-11-29T16:25:41.972570,False,,,,,,19.0,1847.0,8188.0,38.0,22.81,50.0,0.1,7.6
2024-11-29T16:25:43.032528,False,,,,,,24.0,1847.0,8188.0,38.0,23.83,50.0,0.2,7.6
2024-11-29T16:25:44.084643,False,,,,,,20.0,1807.0,8188.0,38.0,27.33,50.0,0.1,7.6
2024-11-29T16:25:45.141338,False,,,,,,19.0,1795.0,8188.0,39.0,27.23,50.0,0.2,7.6
2024-11-29T16:25:46.204855,False,,,,,,18.0,1794.0,8188.0,38.0,25.47,50.0,0.1,7.6
2024-11-29T16:25:47.258425,False,,,,,,18.0,1793.0,8188.0,38.0,19.07,50.0,0.1,7.6
2024-11-29T16:25:48.305845,False,,,,,,24.0,1768.0,8188.0,38.0,20.99,50.0,0.4,7.6
2024-11-29T16:25:49.361237,False,,,,,,19.0,1768.0,8188.0,38.0,17.51,50.0,0.2,7.6
2024-11-29T16:25:50.409775,False,,,,,,43.0,1768.0,8188.0,38.0,16.1,50.0,0.1,7.6
2024-11-29T16:25:51.449794,False,,,,,,23.0,1766.0,8188.0,38.0,19.65,50.0,0.2,7.6
2024-11-29T16:25:51.586998,False,,,,,,18.0,1766.0,8188.0,38.0,20.41,50.0,0.2,7.6
2024-11-29T16:25:52.652594,False,,,,,,18.0,1783.0,8188.0,38.0,18.31,50.0,0.1,7.6
2024-11-29T16:25:53.731662,False,,,,,,21.0,1796.0,8188.0,38.0,20.94,50.0,0.2,7.6
2024-11-29T16:25:54.799218,False,,,,,,21.0,1802.0,8188.0,38.0,19.86,50.0,0.4,7.6
