timestamp,game_running,frame_time_ms,fps,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T13:03:33.682881,True,8.33,120.0,20.0,1910.0,8188.0,37.0,18.04,50.0,4.3,7.1
2024-11-28T13:03:34.922245,True,8.33,120.0,19.0,1910.0,8188.0,37.0,21.01,50.0,0.1,7.1
2024-11-28T13:03:36.181751,True,33.33,30.0,87.0,1917.0,8188.0,38.0,14.48,50.0,0.3,7.1
2024-11-28T13:03:37.430727,True,8.33,120.0,22.0,1913.0,8188.0,38.0,30.67,50.0,0.3,7.1
2024-11-28T13:03:38.658439,True,8.33,120.0,26.0,1905.0,8188.0,37.0,21.87,50.0,0.4,7.1
2024-11-28T13:03:39.845733,True,8.33,120.0,6.0,1904.0,8188.0,38.0,20.4,50.0,0.3,7.1
2024-11-28T13:03:41.079934,True,8.33,120.0,8.0,1898.0,8188.0,38.0,27.47,50.0,0.3,7.1
2024-11-28T13:03:42.238668,True,8.33,120.0,8.0,1898.0,8188.0,38.0,27.61,50.0,0.4,7.1
2024-11-28T13:03:43.406839,True,11.11,90.0,34.0,1900.0,8188.0,37.0,16.33,50.0,0.4,7.1
2024-11-28T13:03:44.608005,True,8.33,120.0,25.0,1905.0,8188.0,37.0,13.14,50.0,0.1,7.1
2024-11-28T13:03:45.811695,True,11.11,90.0,38.0,1904.0,8188.0,37.0,13.14,50.0,0.3,7.1
2024-11-28T13:03:46.987596,True,11.11,90.0,33.0,1919.0,8188.0,37.0,13.39,50.0,0.2,7.1
2024-11-28T13:03:48.170475,True,11.11,90.0,48.0,2009.0,8188.0,38.0,19.42,50.0,0.5,7.1
2024-11-28T13:03:49.382643,True,8.33,120.0,24.0,2016.0,8188.0,38.0,30.66,50.0,0.4,7.1
2024-11-28T13:03:50.571635,True,11.11,90.0,30.0,2009.0,8188.0,38.0,30.57,50.0,0.2,7.1
2024-11-28T13:03:51.806797,True,8.33,120.0,24.0,2003.0,8188.0,38.0,30.55,50.0,0.7,7.1
2024-11-28T13:03:53.047773,True,11.11,90.0,32.0,2003.0,8188.0,37.0,21.96,50.0,0.3,7.1
2024-11-28T13:03:54.241858,True,8.33,120.0,27.0,1991.0,8188.0,37.0,19.06,50.0,0.4,7.1
2024-11-28T13:03:55.480863,True,8.33,120.0,19.0,1990.0,8188.0,37.0,15.7,50.0,0.2,7.1
2024-11-28T13:03:56.716952,True,8.33,120.0,22.0,1986.0,8188.0,37.0,11.83,50.0,0.4,7.1
2024-11-28T13:03:57.954433,True,8.33,120.0,70.0,1980.0,8188.0,37.0,10.51,50.0,0.4,7.1
2024-11-28T13:03:59.157259,True,8.33,120.0,23.0,1980.0,8188.0,37.0,11.66,50.0,0.4,7.1
2024-11-28T13:04:00.403874,True,8.33,120.0,23.0,1980.0,8188.0,37.0,11.72,50.0,0.3,7.1
2024-11-28T13:04:01.671509,True,8.33,120.0,29.0,1998.0,8188.0,37.0,11.46,50.0,0.4,7.1
2024-11-28T13:04:02.911161,True,8.33,120.0,37.0,1998.0,8188.0,37.0,11.68,50.0,0.2,7.1
2024-11-28T13:04:04.080063,True,8.33,120.0,24.0,1998.0,8188.0,37.0,11.55,50.0,0.2,7.1
2024-11-28T13:04:05.295639,True,8.33,120.0,24.0,1998.0,8188.0,37.0,11.52,50.0,0.3,7.1
