timestamp,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:07:59.583355,19.0,1942.0,8188.0,38.0,7.7,50.0,3.4,6.8,0
2024-11-27T15:08:00.883832,11.0,1942.0,8188.0,38.0,7.63,50.0,0.3,6.8,16.0
2024-11-27T15:08:01.061260,38.0,1942.0,8188.0,37.0,7.51,50.0,0.4,6.8,54.0
2024-11-27T15:08:02.362675,17.0,1942.0,8188.0,37.0,7.39,50.0,0.1,6.8,42.0
2024-11-27T15:08:03.651501,14.0,1942.0,8188.0,37.0,7.51,50.0,0.1,6.8,6.0
2024-11-27T15:08:04.962863,26.0,1942.0,8188.0,37.0,7.55,50.0,0.1,6.8,24.0
2024-11-27T15:08:06.376609,27.0,1958.0,8188.0,37.0,7.67,50.0,0.0,6.8,2.0
2024-11-27T15:08:07.720235,14.0,1950.0,8188.0,38.0,26.4,50.0,0.2,6.8,26.0
2024-11-27T15:08:09.000509,10.0,1950.0,8188.0,37.0,24.33,50.0,0.1,6.8,8.0
2024-11-27T15:08:10.316427,12.0,1949.0,8188.0,37.0,12.12,50.0,0.1,6.8,4.0
2024-11-27T15:08:11.604737,27.0,1948.0,8188.0,37.0,9.13,50.0,0.2,6.8,30.0
2024-11-27T15:08:12.921901,22.0,1948.0,8188.0,37.0,8.06,50.0,0.0,6.8,10.0
2024-11-27T15:08:14.222643,43.0,2132.0,8188.0,37.0,10.84,50.0,0.2,6.8,42.0
2024-11-27T15:08:15.543600,22.0,2133.0,8188.0,37.0,12.65,50.0,0.2,6.8,42.0
2024-11-27T15:08:16.849768,23.0,2137.0,8188.0,37.0,12.66,50.0,0.1,6.8,2.0
2024-11-27T15:08:18.135402,14.0,2147.0,8188.0,38.0,23.37,50.0,0.1,6.8,18.0
2024-11-27T15:08:19.487933,13.0,2142.0,8188.0,37.0,25.67,50.0,0.3,6.8,2.0
2024-11-27T15:08:20.866714,5.0,2142.0,8188.0,38.0,18.69,50.0,0.1,6.8,16.0
2024-11-27T15:08:22.188951,5.0,2142.0,8188.0,38.0,26.9,50.0,0.3,6.8,1
2024-11-27T15:08:23.513701,22.0,2143.0,8188.0,37.0,20.38,50.0,0.1,6.8,34.0
2024-11-27T15:08:24.806976,14.0,2143.0,8188.0,37.0,14.06,50.0,0.1,6.8,16.0
2024-11-27T15:08:26.148248,7.0,1727.0,8188.0,37.0,11.68,50.0,0.6,6.8,14.0
2024-11-27T15:08:27.437226,27.0,1727.0,8188.0,36.0,7.6,50.0,0.4,6.8,40.0
2024-11-27T15:08:28.758504,14.0,1721.0,8188.0,36.0,6.72,50.0,0.1,6.8,26.0
2024-11-27T15:08:30.080647,4.0,1716.0,8188.0,36.0,6.8,50.0,0.0,6.8,20.0
