timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-28T13:16:11.839823,True,0.563,59.817,42.836,42.836,111.021,20.0,2010.0,8188.0,41.0,21.8,50.0,3.9,7.2
2024-11-28T13:16:13.024086,True,0.563,59.817,42.836,42.836,111.021,34.0,2010.0,8188.0,41.0,16.19,50.0,0.2,7.2
2024-11-28T13:16:14.206916,True,0.563,59.817,42.836,42.836,111.021,17.0,2010.0,8188.0,41.0,19.85,50.0,0.4,7.2
2024-11-28T13:16:15.345921,True,0.563,59.817,42.836,42.836,111.021,17.0,2010.0,8188.0,41.0,19.91,50.0,0.1,7.2
2024-11-28T13:16:16.585332,True,0.563,59.817,42.836,42.836,111.021,52.0,2010.0,8188.0,40.0,15.11,50.0,0.1,7.2
2024-11-28T13:16:17.801256,True,0.563,59.817,42.836,42.836,111.021,21.0,2010.0,8188.0,41.0,18.81,50.0,0.3,7.2
2024-11-28T13:16:19.016222,True,0.563,59.817,42.836,42.836,111.021,25.0,2010.0,8188.0,40.0,20.54,50.0,0.5,7.2
2024-11-28T13:16:20.240305,True,0.563,59.817,42.836,42.836,111.021,38.0,2010.0,8188.0,40.0,14.12,50.0,0.3,7.2
2024-11-28T13:16:21.470251,True,0.563,59.817,42.836,42.836,111.021,26.0,2010.0,8188.0,40.0,19.98,50.0,0.3,7.2
2024-11-28T13:16:22.679013,True,0.563,59.817,42.836,42.836,111.021,38.0,2010.0,8188.0,40.0,20.11,50.0,0.6,7.2
2024-11-28T13:16:23.865539,True,0.563,59.817,42.836,42.836,111.021,47.0,2010.0,8188.0,40.0,14.69,50.0,0.6,7.2
2024-11-28T13:16:25.049768,True,0.563,59.817,42.836,42.836,111.021,18.0,2010.0,8188.0,40.0,19.36,50.0,0.2,7.2
2024-11-28T13:16:26.244056,True,0.563,59.817,42.836,42.836,111.021,28.0,2010.0,8188.0,40.0,20.17,50.0,0.2,7.2
2024-11-28T13:16:27.392264,True,0.563,59.817,42.836,42.836,111.021,39.0,2010.0,8188.0,40.0,13.69,50.0,0.3,7.2
2024-11-28T13:16:28.587803,True,0.563,59.817,42.836,42.836,111.021,24.0,2010.0,8188.0,40.0,18.89,50.0,0.4,7.2
2024-11-28T13:16:29.769396,True,0.563,59.817,42.836,42.836,111.021,17.0,2010.0,8188.0,40.0,20.38,50.0,0.3,7.2
2024-11-28T13:16:30.964057,True,0.563,59.817,42.836,42.836,111.021,26.0,2010.0,8188.0,40.0,18.68,50.0,0.3,7.2
2024-11-28T13:16:32.112414,True,0.563,59.817,42.836,42.836,111.021,20.0,2010.0,8188.0,40.0,20.31,50.0,0.2,7.2
