timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T18:08:38.231644,False,,,,,,30.0,3528.0,8188.0,39.0,8.23,50.0,0.0,12.3
2024-11-29T18:08:39.333182,False,,,,,,10.0,3528.0,8188.0,39.0,11.2,50.0,0.0,12.3
2024-11-29T18:08:40.444838,False,,,,,,21.0,3528.0,8188.0,39.0,11.57,50.0,0.0,12.3
2024-11-29T18:08:41.565709,False,,,,,,17.0,3528.0,8188.0,39.0,8.13,50.0,0.0,12.3
2024-11-29T18:08:42.669474,False,,,,,,25.0,3531.0,8188.0,39.0,11.17,50.0,0.0,12.3
2024-11-29T18:08:42.410168,False,,,,,,10.0,3535.0,8188.0,39.0,11.55,50.0,0.0,12.3
2024-11-29T18:08:43.518174,False,,,,,,10.0,3532.0,8188.0,39.0,10.72,50.0,0.0,12.3
2024-11-29T18:08:44.618811,False,,,,,,10.0,3532.0,8188.0,39.0,11.69,50.0,0.0,12.3
2024-11-29T18:08:45.722623,False,,,,,,17.0,3532.0,8188.0,39.0,8.24,50.0,0.0,12.3
2024-11-29T18:08:46.817277,False,,,,,,9.0,3532.0,8188.0,39.0,11.15,50.0,0.0,12.3
2024-11-29T18:08:47.919973,False,,,,,,9.0,3512.0,8188.0,39.0,11.77,50.0,0.0,12.3
2024-11-29T18:08:49.034669,False,,,,,,10.0,3512.0,8188.0,39.0,11.02,50.0,0.0,12.3
2024-11-29T18:08:50.136701,False,,,,,,22.0,3513.0,8188.0,38.0,11.36,50.0,0.0,12.3
2024-11-29T18:08:51.222494,False,,,,,,5.0,3513.0,8188.0,39.0,23.51,50.0,0.0,12.3
2024-11-29T18:08:52.358646,False,,,,,,10.0,3513.0,8188.0,39.0,26.62,50.0,0.0,12.3
2024-11-29T18:08:53.466284,False,,,,,,4.0,3520.0,8188.0,39.0,26.64,50.0,0.0,12.3
2024-11-29T18:08:54.563214,False,,,,,,20.0,3523.0,8188.0,39.0,15.27,50.0,0.0,12.3
