timestamp,game_running,frame_time_ms,fps,fps_1_low,fps_min,fps_max,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage
2024-11-29T17:04:26.686077,False,,,,,,22.0,3615.0,8188.0,39.0,20.43,50.0,0.8,7.6
2024-11-29T17:04:27.751964,False,,,,,,14.0,3615.0,8188.0,39.0,20.46,50.0,0.2,7.6
2024-11-29T17:04:28.821761,False,,,,,,14.0,3615.0,8188.0,39.0,20.26,50.0,0.2,7.6
2024-11-29T17:04:29.891053,False,,,,,,15.0,3615.0,8188.0,39.0,20.33,50.0,0.1,7.6
2024-11-29T17:04:30.962463,False,,,,,,13.0,3618.0,8188.0,40.0,22.41,50.0,0.1,7.6
2024-11-29T17:04:32.033281,False,,,,,,18.0,3606.0,8188.0,40.0,31.9,50.0,0.3,7.6
2024-11-29T17:04:33.105760,False,,,,,,19.0,3607.0,8188.0,41.0,37.57,50.0,0.2,7.6
2024-11-29T17:04:34.160637,False,,,,,,15.0,3607.0,8188.0,40.0,29.58,50.0,0.4,7.6
2024-11-29T17:04:35.235840,False,,,,,,18.0,3626.0,8188.0,40.0,27.64,50.0,0.1,7.6
2024-11-29T17:04:36.310825,False,,,,,,10.0,3626.0,8188.0,40.0,31.59,50.0,0.3,7.6
2024-11-29T17:04:37.384563,False,,,,,,30.0,3605.0,8188.0,40.0,29.55,50.0,0.1,7.6
2024-11-29T17:04:38.435493,False,,,,,,16.0,3609.0,8188.0,40.0,22.4,50.0,0.2,7.6
2024-11-29T17:04:39.508227,False,,,,,,15.0,3615.0,8188.0,40.0,25.34,50.0,0.2,7.6
2024-11-29T17:04:40.556666,False,,,,,,24.0,3623.0,8188.0,41.0,36.88,50.0,0.2,7.6
2024-11-29T17:04:41.629514,False,,,,,,13.0,3607.0,8188.0,40.0,31.48,50.0,0.2,7.6
2024-11-29T17:04:42.672072,False,,,,,,10.0,3609.0,8188.0,40.0,31.01,50.0,0.1,7.6
2024-11-29T17:04:43.716654,False,,,,,,16.0,3609.0,8188.0,40.0,31.08,50.0,0.2,7.6
2024-11-29T17:04:44.759026,False,,,,,,10.0,3625.0,8188.0,40.0,31.57,50.0,0.1,7.6
2024-11-29T17:04:45.824978,False,,,,,,14.0,3625.0,8188.0,40.0,27.19,50.0,0.3,7.6
2024-11-29T17:04:46.879032,False,,,,,,14.0,3625.0,8188.0,40.0,20.93,50.0,0.1,7.6
2024-11-29T17:04:47.927791,False,,,,,,14.0,3621.0,8188.0,39.0,20.39,50.0,0.1,7.6
2024-11-29T17:04:48.972186,False,,,,,,14.0,3621.0,8188.0,40.0,20.33,50.0,0.2,7.6
2024-11-29T17:04:50.021170,False,,,,,,14.0,3625.0,8188.0,40.0,20.31,50.0,0.2,7.6
2024-11-29T17:04:51.064699,False,,,,,,15.0,3632.0,8188.0,40.0,20.36,50.0,0.2,7.6
2024-11-29T17:04:52.105584,False,,,,,,45.0,3624.0,8188.0,39.0,19.94,50.0,0.4,7.6
2024-11-29T17:04:53.146660,False,,,,,,89.0,3622.0,8188.0,40.0,17.98,50.0,0.2,7.6
2024-11-29T17:04:54.190765,False,,,,,,15.0,3622.0,8188.0,40.0,28.05,50.0,0.1,7.6
2024-11-29T17:04:54.179968,False,,,,,,81.0,3622.0,8188.0,40.0,24.81,50.0,0.3,7.6
2024-11-29T17:04:55.221282,False,,,,,,6.0,3622.0,8188.0,40.0,27.88,50.0,0.1,7.6
2024-11-29T17:04:56.261275,False,,,,,,14.0,3622.0,8188.0,39.0,24.32,50.0,0.1,7.6
2024-11-29T17:04:57.300573,False,,,,,,33.0,3622.0,8188.0,40.0,17.96,50.0,0.2,7.6
2024-11-29T17:04:58.340979,False,,,,,,37.0,3622.0,8188.0,40.0,23.19,50.0,0.1,7.6
2024-11-29T17:04:59.414295,False,,,,,,6.0,3622.0,8188.0,40.0,22.66,50.0,0.2,7.6
2024-11-29T17:05:00.451317,False,,,,,,28.0,3622.0,8188.0,40.0,22.39,50.0,0.2,7.6
2024-11-29T17:05:01.490895,False,,,,,,35.0,3622.0,8188.0,40.0,23.45,50.0,0.1,7.6
2024-11-29T17:05:02.528042,False,,,,,,19.0,3622.0,8188.0,40.0,23.96,50.0,0.1,7.6
2024-11-29T17:05:03.575457,False,,,,,,13.0,3622.0,8188.0,40.0,22.84,50.0,0.1,7.6
2024-11-29T17:05:04.615253,False,,,,,,62.0,3622.0,8188.0,40.0,25.25,50.0,0.3,7.6
2024-11-29T17:05:05.653178,False,,,,,,7.0,3622.0,8188.0,40.0,32.97,50.0,0.2,7.6
2024-11-29T17:05:06.689375,False,,,,,,17.0,3622.0,8188.0,41.0,33.15,50.0,0.2,7.6
2024-11-29T17:05:07.726146,False,,,,,,6.0,3622.0,8188.0,40.0,32.93,50.0,0.1,7.6
2024-11-29T17:05:08.761465,False,,,,,,44.0,3622.0,8188.0,40.0,27.65,50.0,0.2,7.6
2024-11-29T17:05:09.832242,False,,,,,,44.0,3622.0,8188.0,41.0,33.1,50.0,0.4,7.6
2024-11-29T17:05:10.906262,False,,,,,,49.0,3622.0,8188.0,41.0,33.26,50.0,0.1,7.6
2024-11-29T17:05:11.973384,False,,,,,,6.0,3622.0,8188.0,41.0,33.14,50.0,0.2,7.6
2024-11-29T17:05:13.046402,False,,,,,,66.0,3622.0,8188.0,41.0,33.47,50.0,0.1,7.6
2024-11-29T17:05:14.099249,False,,,,,,40.0,3622.0,8188.0,41.0,33.46,50.0,0.3,7.6
2024-11-29T17:05:15.152029,False,,,,,,62.0,3622.0,8188.0,41.0,33.31,50.0,0.3,7.6
2024-11-29T17:05:16.225713,False,,,,,,50.0,3622.0,8188.0,41.0,33.34,50.0,0.2,7.6
2024-11-29T17:05:17.276428,False,,,,,,64.0,3622.0,8188.0,41.0,33.53,50.0,0.1,7.6
2024-11-29T17:05:18.351328,False,,,,,,71.0,3622.0,8188.0,41.0,33.56,50.0,0.2,7.6
2024-11-29T17:05:19.419088,False,,,,,,6.0,3622.0,8188.0,41.0,33.07,50.0,0.1,7.6
2024-11-29T17:05:20.493041,False,,,,,,43.0,3622.0,8188.0,41.0,33.26,50.0,0.2,7.6
2024-11-29T17:05:21.572903,False,,,,,,23.0,3613.0,8188.0,41.0,33.51,50.0,0.1,7.6
2024-11-29T17:05:22.648183,False,,,,,,28.0,3613.0,8188.0,41.0,33.66,50.0,0.2,7.6
2024-11-29T17:05:23.713588,False,,,,,,11.0,3613.0,8188.0,41.0,33.42,50.0,0.1,7.6
2024-11-29T17:05:24.778369,False,,,,,,14.0,3613.0,8188.0,40.0,21.45,50.0,0.1,7.6
2024-11-29T17:05:25.844012,False,,,,,,15.0,3613.0,8188.0,40.0,14.05,50.0,0.1,7.6
2024-11-29T17:05:25.849471,False,,,,,,27.0,3613.0,8188.0,40.0,13.79,50.0,0.1,7.6
2024-11-29T17:05:26.925943,False,,,,,,16.0,3613.0,8188.0,39.0,13.53,50.0,0.1,7.6
2024-11-29T17:05:28.000078,False,,,,,,24.0,3613.0,8188.0,39.0,13.27,50.0,0.2,7.6
2024-11-29T17:05:29.076359,False,,,,,,18.0,3613.0,8188.0,39.0,13.26,50.0,0.2,7.6
2024-11-29T17:05:30.128498,False,,,,,,26.0,3613.0,8188.0,39.0,13.52,50.0,0.1,7.6
2024-11-29T17:05:31.185431,False,,,,,,26.0,3613.0,8188.0,39.0,13.19,50.0,0.3,7.6
2024-11-29T17:05:32.236587,False,,,,,,32.0,3613.0,8188.0,39.0,11.46,50.0,0.3,7.6
2024-11-29T17:05:33.290855,False,,,,,,18.0,3613.0,8188.0,39.0,13.26,50.0,0.9,7.7
2024-11-29T17:05:34.369371,False,,,,,,25.0,3613.0,8188.0,39.0,13.2,50.0,1.0,7.8
2024-11-29T17:05:35.430529,False,,,,,,36.0,3613.0,8188.0,39.0,12.63,50.0,0.1,7.8
2024-11-29T17:05:36.484173,False,,,,,,26.0,3613.0,8188.0,39.0,11.78,50.0,0.1,7.8
2024-11-29T17:05:37.544447,False,,,,,,27.0,3613.0,8188.0,39.0,13.37,50.0,0.2,7.8
2024-11-29T17:05:38.610037,False,,,,,,19.0,3613.0,8188.0,39.0,13.47,50.0,0.4,7.8
